r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.157307621356134658e-01,-1.001308562595771834e+00,4.726073811701026806e+00,2.087815841938921169e-01,3.037696385634724550e+00,9.248483016092948206e-03,3.590181609509092084e-03,5.259142475792331906e-02,4.714406560484031061e+00,0.000000000000000000e+00,4.714406560484031061e+00,1.166725121699566103e-02,1.308763143971835852e-01,-1.001308562595771834e+00,2.177231560064346316e-01,3.547204482579120050e-02,3.269587645330142186e+04,3.112301440110450734e+00,1.000000000000000056e-01,6.023717912696483978e+01
1.469546152836118391e-01,-1.125598829039872406e+00,5.975423075799320749e+00,1.861896252473152769e-01,4.165453617539732534e+00,2.196892156035525415e-02,6.654131999147089478e-03,9.887650353826477057e-02,5.986340965893217181e+00,0.000000000000000000e+00,5.986340965893217181e+00,-1.091789009389659837e-02,1.712411434957522016e-01,-1.125598829039872406e+00,3.252221382121148752e-01,3.523322034987474288e-02,4.115265175558782357e+04,7.364899355439424866e+00,1.000000000000000056e-01,4.971370842458970429e+00
1.777003428073752611e-01,-1.272818936450186289e+00,7.193450709566626244e+00,1.751287139732071729e-01,4.632530484448128760e+00,3.895536431320532900e-02,1.022375645407896938e-02,1.470434956713481123e-01,7.238798453169025926e+00,0.000000000000000000e+00,7.238798453169025926e+00,-4.534774360239945956e-02,1.923909226161346075e-01,-1.272818936450186289e+00,4.025709602352968708e-01,3.289491011773494622e-02,4.944120314051536116e+04,1.315865711173467822e+01,1.000000000000000056e-01,4.329675579044373279e+01
2.079624211496821362e-01,-1.431425867507045702e+00,8.384522252723614955e+00,1.690921945338952070e-01,4.811730904602717018e+00,6.033362871973939334e-02,1.426080760909809696e-02,1.978133138547501502e-01,8.471554014768758023e+00,0.000000000000000000e+00,8.471554014768758023e+00,-8.703176204514384562e-02,1.822812635031366146e-01,-1.431425867507045702e+00,4.651224443031555800e-01,2.934794598001562102e-02,5.756710115771870187e+04,2.061138063337608983e+01,1.000000000000000056e-01,8.754773444171178864e-01
2.377354136422590580e-01,-1.595442592680583083e+00,9.554279178816472040e+00,1.654605584073721436e-01,4.853141660713060190e+00,8.619717449775705920e-02,1.874939723004820022e-02,2.514721356191890744e-01,9.684386182656584907e+00,0.000000000000000000e+00,9.684386182656584907e+00,-1.301070038401124784e-01,1.469670391985780089e-01,-1.595442592680583083e+00,5.192166782587629426e-01,2.531661365841859218e-02,6.555829485705653497e+04,2.983973749428225730e+01,1.000000000000000056e-01,1.427239210146251658e+00
2.670139714824940613e-01,-1.766744582079503356e+00,1.070469347437201613e+01,1.635693752766022024e-01,4.794831805725847218e+00,1.161554863132111953e-01,2.363304224043647622e-02,3.070120266943459630e-01,1.087707706809091768e+01,0.000000000000000000e+00,1.087707706809091768e+01,-1.723835937189022172e-01,9.772910201206008729e-02,-1.766744582079503356e+00,5.659452310342927284e-01,2.103526367567332828e-02,7.342899839170627820e+04,4.080380642156554671e+01,1.000000000000000056e-01,1.611585762289836339e+02
2.957928346943640152e-01,-1.916587168649031669e+00,1.184350143016017576e+01,1.604352325910523014e-01,4.807738287332988136e+00,1.482973126812226761e-01,2.863691068438945636e-02,3.600706906432795673e-01,1.204941240076873932e+01,0.000000000000000000e+00,1.204941240076873932e+01,-2.059109706085633373e-01,4.205944172557840588e-02,-1.916587168649031669e+00,6.002380466145039728e-01,1.820572307687751828e-02,8.119906482892233180e+04,5.291961067457567225e+01,1.000000000000000056e-01,3.132516373219635852e+01
3.240668330734038927e-01,-2.002949276237855347e+00,1.298031451663924329e+01,1.530991782262274836e-01,5.061396574049309649e+00,1.802783003756424085e-01,3.329919492556836919e-02,4.064767470676818872e-01,1.320118156731985160e+01,0.000000000000000000e+00,1.320118156731985160e+01,-2.208670506806077460e-01,-1.710120592468734879e-02,-2.002949276237855347e+00,6.189707357038636282e-01,1.829722238139885881e-02,8.888992305181917618e+04,6.539826735433220506e+01,1.000000000000000056e-01,1.924837399611799924e+02
3.518308871155490514e-01,-2.089374246602593299e+00,1.409812288840671002e+01,1.471313444462556408e-01,5.236661595810634395e+00,2.130912756230050886e-01,3.787746382674697654e-02,4.504738374557741287e-01,1.433217764914418169e+01,0.000000000000000000e+00,1.433217764914418169e+01,-2.340547607374708905e-01,-8.018562474098125947e-02,-2.089374246602593299e+00,6.321498947591022155e-01,1.820056451405937040e-02,9.645763019627208996e+04,7.864738933595141646e+01,1.000000000000000056e-01,2.025136867829834841e+02
3.790800089296826325e-01,-2.171473545194944954e+00,1.519680917345350757e+01,1.419293500510210027e-01,5.368047253041622113e+00,2.466044476094307880e-01,4.235371641074779647e-02,4.927815777581982526e-01,1.544219745958529977e+01,0.000000000000000000e+00,1.544219745958529977e+01,-2.453882861317925324e-01,-1.485142441106327427e-01,-2.171473545194944954e+00,6.420114915729128180e-01,1.808305676995693168e-02,1.038960149348042760e+05,9.266839624062066605e+01,1.000000000000000056e-01,1.470000000000000000e+02
4.058093031337237089e-01,-2.247855247463472317e+00,1.627583735695623446e+01,1.372417551415542336e-01,5.469959990754409418e+00,2.806162047293664363e-01,4.665930850879731334e-02,5.337822497266401234e-01,1.653104158043345606e+01,0.000000000000000000e+00,1.653104158043345606e+01,-2.552042234772201601e-01,-2.221414449367702104e-01,-2.247855247463472317e+00,6.497520981108979576e-01,1.788913535733179655e-02,1.111997453787338018e+05,1.074351368968505085e+02,1.000000000000000056e-01,8.700000000000000000e+01
