iter,R,D,thrust,RPM_main,RPM_small,power_req,err
0,1.0,0.15,60.01965914243185,407.8125,9452.466683182918,237.1142665782854,237.1142665782854
1,1.0000000149011612,0.15,60.019662042513346,407.8125,9452.466886385371,237.11428653314812,237.11428653314812
2,1.0,0.1500000149011612,60.01965830326432,407.8125,9452.464780509355,237.1141686536597,237.1141686536597
3,0.95,0.16,60.01359721211273,444.0625,8366.939787285935,237.60297444919817,237.60297444919817
4,0.9750917504736446,0.15498164990527108,60.00775909706012,425.3125,8886.577888347116,239.62114345511316,239.62114345511316
5,0.9880009900669277,0.15239980198661446,59.95902094022801,416.875,9169.271728412688,234.40802882076073,234.40802882076073
6,0.9934431816587924,0.15131136366824152,59.97392454620926,413.75,9294.754675295651,233.253114097511,233.253114097511
7,0.9934431965599536,0.15131136366824152,59.97392745552969,413.75,9294.75487661364,233.25313395165642,233.25313395165642
8,0.9934431816587924,0.15131137856940272,59.97392374257235,413.75,9294.752821446233,233.25301691388304,233.25301691388304
9,0.95,0.15999938019381674,60.013625507159816,444.0625,8367.005492911427,237.60709937467175,237.60709937467175
10,0.9725170150177753,0.1554962984417125,59.9834326236645,428.75,8831.271336226977,239.3322725142234,239.3322725142234
11,0.9840184975855708,0.1531961660204169,60.06730565748994,419.0625,9085.981543453823,236.4174200457659,236.4174200457659
12,0.9892631174780359,0.15214731686719485,60.06168473588495,415.3125,9203.139638920076,234.81599507923195,234.81599507923195
13,0.9916127158939955,0.1516774307058485,59.95073185135813,414.375,9252.160459670386,232.31884074336986,232.31884074336986
14,0.9916127307951567,0.1516774307058485,59.950734773202115,414.375,9252.1606603422,232.31886068955797,232.31886068955797
15,0.9916127158939955,0.1516774456070097,59.950731020042085,414.375,9252.158618577274,232.31874290403846,232.31874290403846
16,0.95,0.1599995407388285,60.01361817788265,444.0625,8366.988473463185,237.60603091197342,237.60603091197342
17,0.9717577253507655,0.15564822214434673,59.9822726996765,428.4375,8816.004675818427,234.97854919424327,234.97854919424327
