RPM_MAIN,RPM_SMALL,thrust,torque,power_required,createdMoment,STALL_FACTOR,RPM_MAIN_bound,RPM_SMALL_bound, iterVel
400,10000,43.965946674240605,3.1705449672756876,-481.2441196806793,-5.916598303474548,(0.02040816326530612, 0.0, 0.03508771929824561, 0.8947368421052632),(250, 650),(4000, 15000),0
400,12500.0,17.113893493594066,2.8359764982870406,-851.6772600923722,-7.787622176431114,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(10000, 15000), 0
400,11250.0,18.02789938715276,2.4051047979869815,-583.808693232553,-6.22354903750204,(0.0, 0.0, 0.017543859649122806, 0.9122807017543859),(250, 650),(10000, 12500.0),0
400,11875.0,17.75431707561557,2.6920798462895936,-695.1289164180249,-6.842320187981468,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11250.0, 12500.0), 0
400,11562.5,17.829150313136694,2.5365858862841115,-632.0159561588703,-6.482260728909668,(0.0, 0.0, 0.017543859649122806, 0.9122807017543859),(250, 650),(11250.0, 11875.0),0
400,11718.75,17.836616253167726,2.6309712483864978,-660.8611282412835,-6.642606544028008,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11562.5, 11875.0), 0
400,11640.625,17.814311715769414,2.5762797232523327,-645.606878150841,-6.556992056106756,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11562.5, 11718.75),0
400,11679.6875,17.851864977025762,2.613565756554155,-652.8704376590879,-6.597245053145444,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11640.625, 11718.75), 0
400,11660.15625,17.834604293394577,2.595358268910663,-649.0447960255838,-6.575800776182015,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11640.625, 11679.6875),0
400,11669.921875,17.81980375983854,2.595376241646735,-650.931670105248,-6.586393087538676,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11660.15625, 11679.6875), 0
400,11665.0390625,17.82738099517851,2.595367202118536,-649.968689052095,-6.58096320185818,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11660.15625, 11669.921875),0
400,11667.48046875,17.823592626750667,2.5953717085210224,-650.4500717826787,-6.583677935361424,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11665.0390625, 11669.921875), 0
400,11666.259765625,17.825486873235263,2.5953694519884873,-650.2093534721148,-6.582320516284873,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11665.0390625, 11667.48046875),0
400,11666.8701171875,17.82453976556578,2.5953705794208,-650.3297058906131,-6.582999212740751,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.259765625, 11667.48046875), 0
400,11666.56494140625,17.82501332329312,2.5953700154963038,-650.2695279972263,-6.582659861242358,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.259765625, 11666.8701171875),0
400,11666.717529296875,17.824776545402674,2.5953702974064496,-650.2996165228776,-6.582829536173919,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.56494140625, 11666.8701171875), 0
400,11666.641235351562,17.824894934591143,2.5953701564383396,-650.2845721547927,-6.582744698503735,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.56494140625, 11666.717529296875),0
400,11666.679382324219,17.824835740057726,2.595370226919139,-650.2920943125201,-6.582787117287724,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.641235351562, 11666.717529296875), 0
400,11666.66030883789,17.824865337339624,2.595370191677924,-650.2883332270775,-6.582765907882954,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.641235351562, 11666.679382324219),0
400,11666.669845581055,17.824850538702496,2.5953702092983315,-650.2902137681542,-6.5827765125821465,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.66030883789, 11666.679382324219), 0
400,11666.665077209473,17.824850538702496,2.5953702092983315,-650.2902137681542,-6.5827765125821465,(0.0, 0.0, 0.017543859649122806, 0.8947368421052632),(250, 650),(11666.66030883789, 11666.669845581055), 0

525.0,11666.665077209473,41.75879984341969,4.994325166482538,-609.1726693211334,-5.998650107846667,(0.0, 0.0, 0.05263157894736842, 0.8947368421052632),(400, 650),(4000, 15000),0
WARNING: The tip small propeller is stalling, reduce RPM_SMALL
525.0,11666.665077209473,41.75879984341969,4.994325166482538,-609.1726693211334,-5.998650107846667,(0.0, 0.0, 0.05263157894736842, 0.8947368421052632),(400, 650),(4000, 15000), 0

587.5,11666.665077209473,57.073693699663046,6.166006282073259,-493.7592839869211,-4.881271514129139,(0.0, 0.0, 0.08771929824561403, 0.8596491228070176),(525.0, 650),(4000, 15000),0
WARNING: The tip small propeller is stalling, reduce RPM_SMALL
587.5,11666.665077209473,57.073693699663046,6.166006282073259,-493.7592839869211,-4.881271514129139,(0.0, 0.0, 0.08771929824561403, 0.8596491228070176),(525.0, 650),(4000, 15000), 0

618.75,11666.665077209473,64.5966515807337,6.760459192664458,-424.601963782703,-4.063630097292473,(0.0, 0.0, 0.08771929824561403, 0.8596491228070176),(587.5, 650),(4000, 15000),0
WARNING: The tip small propeller is stalling, reduce RPM_SMALL
618.75,11666.665077209473,64.5966515807337,6.760459192664458,-424.601963782703,-4.063630097292473,(0.0, 0.0, 0.08771929824561403, 0.8596491228070176),(587.5, 650),(4000, 15000), 0

