iter,R,D,thrust,RPM_main,RPM_small,power_req,err
0,1.0,0.15,60.05199913586718,410.3125,13451.504348047842,270.00759292908447,270.00759292908447
1,1.0000000149011612,0.15,60.05200196620318,410.3125,13451.504632230395,270.00761695162896,270.00761695162896
2,1.0,0.1500000149011612,60.05199932458052,410.3125,13451.501642611025,270.00745708681393,270.00745708681393
3,0.85,0.16,48.2576670226454,479.99755859375,10846.931151502387,244.96103288163405,244.96103288163405
4,0.9188997025908667,0.1554066864939422,59.95129883499078,471.875,12648.84359179628,295.25427364186515,295.25427364186515
5,0.9644369964378448,0.15237086690414367,60.02644618907809,436.064453125,13101.614377100826,295.1628518636474,295.1628518636474
6,0.9865152854597916,0.15089898096934723,59.99233508368343,419.6875,13305.301128860308,277.55456442123324,277.55456442123324
7,0.9946152352100862,0.1503589843193276,59.97762513211423,414.375,13384.48312489272,281.261556804715,281.261556804715
8,0.9986132310626008,0.15009245126249326,59.99169884450716,411.875,13428.060585446952,270.7640555149477,270.7640555149477
9,0.9994433902653462,0.15003710731564357,59.96000275599994,410.9375,13433.909606071249,268.85924317407006,268.85924317407006
10,0.9994434051665074,0.15003710731564357,59.9600055841492,410.9375,13433.909890357869,268.85926714145944,268.85926714145944
11,0.9994433902653462,0.15003712221680476,59.96000304483264,410.9375,13433.906904496038,268.85910813175434,268.85910813175434
12,0.85,0.15243650644947632,48.25249160319102,479.99755859375,11953.133763307023,228.11058222345565,228.11058222345565
13,0.8500000149011612,0.15243650644947632,49.89511074851801,479.99755859375,25000,-2945.650297010935,-2945.650297010935
14,0.85,0.1524365213506375,48.329096904057664,479.99755859375,11998.431275244786,923.3809611252036,923.3809611252036
15,1.001693088993909,0.15999391095825188,59.92519342845956,408.75,11764.771089999409,281.7016676193415,281.7016676193415
16,0.9258465443669299,0.15621520869738623,59.956584752810585,467.5,12497.430050454803,303.29190212762984,303.29190212762984
