iter,R,D,thrust,RPM_main,RPM_small,power_req,Stall err,err
0,1.0,0.15,60.096404058895615,405.0,13432.600393368315,280.1772884607033,0.0,280.55863735532984
1,0.9072949016875158,0.15,59.92214810957103,479.84375,13565.640565272948,300.3961610761653,0.0,302.5744047639554
2,0.9427050983124842,0.15,60.98441319428633,455.00244140625,13630.254190206715,295.85298368931825,0.0,295.8530367469447
3,0.9645898033750315,0.15,59.9658363510644,437.5,13492.601684414232,287.20792365829135,0.0,288.6151723129526
4,0.9781152949374526,0.15,60.09331280423131,422.5,13469.01465939597,280.2382742768239,0.0,280.6315957347683
5,0.9864745084375789,0.15,60.01441894225492,418.125,13444.428721706721,281.64126818504343,0.0,282.5069919299715
400.0,10000.0,60.781990715725264,4.512442728094238,445.34566481790745,7.295793907647856,0.006944444444444444,0,0,203621.3937433057,203621.3937433057
352.78640450004207,10000.0,48.2654711705689,4.305942558972172,511.18819890883566,8.495291704763323,0.027777777777777776,0,1173452.8829431098,185411.41321167813,1358864.296154788
