r_main ,f_axial ,f_tan,area_main,r_small,area_small,f_axial_b1,f_axial_b2,f_axial_b3,moment_b1,moment_b2,moment_b3
0.14999999999999999,0.18924993000000001,0.044825170999999997,0.01,0.012500000000000001,0.00021100000000000001,0.0069475022000000004,0.0039481342,0.0032497172000000001,0.00065755274999999998,0.00041620923999999998,0.00042712095000000002
0.25,0.43188651000000000,0.10091754000000000,0.01,0.017500000000000002,0.00020300000000000000,0.018326643000000000,0.013323362,0.011425687000000000,0.0013229546,0.0010023424,0.0009897312
0.34999999999999998,0.86269454000000001,0.18200859000000000,0.01,0.022499999999999999,0.00019500,0.030587799999999998,0.024451430000000000,0.022034938,0.0021844227999999999,0.0017693384000000000,0.001782341
0.45000000000000001,1.4261229,0.27295933999999999,0.01,0.0275,0.00018599999999999999,0.043954497000000002,0.037292642000000001,0.035108393000000002,0.0031558476000000000,0.0026666108000000001,0.0027328029999999998
0.55000000000000004,2.1043018,0.36453,0.01,0.032500000000000001,0.00017799999999999999,0.057359582999999999,0.050672690999999999,0.049564519,0.0041658787999999999,0.0036408933000000002,0.0037651897
0.65000000000000002,2.8685639,0.45291837,0.01,0.037499999999999999,0.00017000,0.069560367999999997,0.062597740999999998,0.064009602999999998,0.0051188980999999998,0.0046118158999999999,0.0048047866999999999
0.75,3.8811827000000001,0.53842235000000005,0.01,0.042500000000000003,0.00016200,0.078794195999999997,0.069087662999999994,0.076270020999999993,0.0058893006000000003,0.0053963752000000002,0.0057181502999999996
0.8125,1.1691210000000001,0.14697259,0.0025000000000000001,0.047500000000000001,0.00015300000000000001,0.084768975,0.071028048999999996,0.083846362999999993,0.0064136037999999998,0.0057661737000000001,0.0063283864000000002
0.83750000000000002,1.2490698,0.15128825,0.0025000000000000001,0.052499999999999998,0.00014500000000000000,0.090903650,0.072168942999999999,0.087918166000000006,0.0067434349999999999,0.0057169511999999997,0.0066101399000000000
0.86250000000000004,1.3402578000000001,0.15573422000000001,0.0025000000000000001,0.057500000000000002,0.00013700000000000000,0.096613642999999999,0.074039533000000005,0.093253924000000002,0.0068500699000000002,0.0055048518000000001,0.0066972456000000003
0.88749999999999996,1.4626197999999999,0.16134409,0.0025000000000000001,0.0625,0.0001280,0.096569606000000002,0.079089180999999995,0.097565526,0.0066924869000000000,0.0054225673,0.0065613503000000002
0.91249999999999998,1.6503107,0.19595914,0.0025000000000000001,0.067500000000000004,0.00012000,0.086155504999999993,0.079850931999999999,0.09227185,0.0058990615999999999,0.0051280598000000002,0.0060317890000000001
0.9375,1.7849615999999999,0.18809149000000000,0.0025000000000000001,0.072499999999999995,0.00011200000000000000,0.059949979000000000,0.065022774000000005,0.069118233000000001,0.0042872999000000004,0.0043926128000000000,0.0047221581999999998
0.96250000000000002,1.8356420,0.13180264,0.0025000000000000001,,,,,,,,
0.98750000000000004,1.8060080000000001,0.23232377000000001,0.0025000000000000001,,,,,,,,
