r,FC,Derivative
0,0,13.133622222222224
0.0044999999999999997,0.0059101300000000004,14.499711111111111
0.0089999999999999993,0.012435,14.219777777777777
0.0135,0.018833900000000001,14.79955555555556
0.017999999999999999,0.025493700000000001,14.955777777777765
0.022499999999999999,0.032223799999999997,16.256888888888898
0.027,0.039539400000000002,16.846888888888888
0.0315,0.047120500000000003,17.556444444444445
0.035999999999999997,0.055020899999999998,17.537555555555556
0.040500000000000001,0.062912800000000005,19.09511111111112
0.044999999999999998,0.071505600000000002,16.955555555555534
0.049500000000000002,0.0791356,20.39822222222223
0.053999999999999999,0.088314799999999999,19.998666666666658
0.058500000000000003,0.097314200000000003,17.73288888888889
0.063,0.105294,22.051111111111094
0.067500000000000004,0.115217,17.006666666666689
0.071999999999999995,0.12286999999999999,23.46888888888887
0.076499999999999999,0.13343099999999999,23.613333333333305
0.081000000000000003,0.14405699999999999,19.922222222222207
0.085500000000000007,0.15302199999999999,27.380000000000056
0.089999999999999997,0.16534299999999999,19.739999999999984
0.094500000000000001,0.17422599999999999,29.977777777777753
0.099000000000000005,0.18771599999999999,30.302222222222309
0.10349999999999999,0.201352,23.69777777777777
0.108,0.21201600000000001,33.982222222222191
0.1125,0.22730800000000001,25.068888888888832
0.11700000000000001,0.238589,36.0577777777779
0.1215,0.25481500000000001,37.328888888888805
0.126,0.27161299999999999,29.731111111111151
0.1305,0.28499200000000002,39.379999999999932
0.13500000000000001,0.30271300000000001,33.648888888888834
0.13950000000000001,0.317855,42.202222222222396
0.14399999999999999,0.33684599999999998,44.644444444444396
0.14849999999999999,0.35693599999999998,37.65111111111117
0.153,0.37387900000000002,47.671111111111003
0.1575,0.39533099999999999,45.020000000000017
0.16200000000000001,0.41559000000000001,44.971111111111078
0.16650000000000001,0.43582700000000002,54.755555555555496
0.17100000000000001,0.46046700000000002,42.626666666666836
0.17549999999999999,0.47964899999999999,58.719999999999949
0.17999999999999999,0.506073,60.977777777777767
0.1845,0.53351300000000001,47.091111111110976
0.189,0.55470399999999997,65.924444444444319
0.19350000000000001,0.58436999999999995,49.237777777777936
0.19800000000000001,0.60652700000000004,70.471111111110957
0.20250000000000001,0.638239,70.077777777778095
0.20699999999999999,0.66977399999999998,56.791111111111107
0.21149999999999999,0.69533,77.475555555555502
0.216,0.73019400000000001,57.842222222222098
0.2205,0.75622299999999998,80.848888888888865
0.22500000000000001,0.792605,78.086666666666659
0.22950000000000001,0.82774400000000004,69.308888888888632
0.23400000000000001,0.85893299999999995,85.800000000000523
0.23849999999999999,0.89754299999999998,70.220000000000027
0.24299999999999999,0.92914200000000002,91.451111111111018
0.2475,0.97029500000000002,88.855555555555583
0.252,1.0102800000000001,79.57777777777747
0.25650000000000001,1.04609,93.866666666666703
0.26100000000000001,1.08833,98.022222222221842
0.26550000000000001,1.1324399999999999,84.200000000000372
0.27000000000000002,1.1703300000000001,107.53333333333309
0.27450000000000002,1.21872,85.177777777777649
0.27900000000000003,1.25705,111.95555555555703
0.28349999999999997,1.3074300000000001,114.73333333333288
0.28799999999999998,1.3590599999999999,88.97777777777786
0.29249999999999998,1.3991,124.64444444444428
0.29699999999999999,1.45519,89.444444444444628
0.30149999999999999,1.4954400000000001,128.57777777777721
0.30599999999999999,1.5532999999999999,127.31111111111113
0.3105,1.61059,104.15555555555538
0.315,1.6574599999999999,134.33333333333346
0.31950000000000001,1.71791,106.08888888888855
0.32400000000000001,1.7656499999999999,142.53333333333339
0.32850000000000001,1.82979,138.53333333333333
0.33300000000000002,1.8921300000000001,116.28888888888875
0.33750000000000002,1.9444600000000001,147.39999999999986
0.34200000000000003,2.0107900000000001,119.35555555555625
0.34649999999999997,2.0644999999999998,153.00000000000051
0.35099999999999998,2.1333500000000001,154.86666666666659
0.35549999999999998,2.2030400000000001,127.35555555555489
0.35999999999999999,2.2603499999999999,157.37777777777836
0.36449999999999999,2.3311700000000002,169.77777777777766
0.36899999999999999,2.4075700000000002,131.66666666666561
0.3735,2.4668199999999998,177.22222222222251
0.378,2.54657,134.26666666666685
0.38250000000000001,2.6069900000000001,184.39999999999995
0.38700000000000001,2.6899700000000002,184.79999999999961
0.39150000000000001,2.7731300000000001,140.82222222222194
0.39600000000000002,2.8365,196.42222222222196
0.40050000000000002,2.92489,141.95555555555578
0.40500000000000003,2.9887700000000001,202.28888888889105
0.40949999999999998,3.0798000000000001,202.57777777777738
0.41399999999999998,3.17096,155.62222222222215
0.41849999999999998,3.24099,211.86666666666594
0.42299999999999999,3.3363299999999998,159.73333333333355
0.42749999999999999,3.40821,214.17777777777738
0.432,3.5045899999999999,222.37777777777779
0.4365,3.60466,164.9111111111107
0.441,3.6788699999999999,225.8888888888892
0.44550000000000001,3.7805200000000001,211.86666666666594
0.45000000000000001,3.8758599999999999,192.3555555555553
0.45450000000000002,3.9624199999999998,234.02222222222252
0.45900000000000002,4.0677300000000001,189.02222222222284
0.46350000000000002,4.1527900000000004,240.91111111110916
0.46800000000000003,4.2611999999999997,248.44444444444852
0.47249999999999998,4.3730000000000002,192.68888888888884
0.47699999999999998,4.4597100000000003,255.22222222222126
0.48149999999999998,4.57456,205.88888888888846
0.48599999999999999,4.6672099999999999,253.86666666666767
0.49049999999999999,4.7814500000000004,272.66666666666453
0.495,4.9041499999999996,200.84444444444551
0.4995,4.9945300000000001,281.68888888888858
0.504,5.1212900000000001,204.73333333333576
0.50849999999999995,5.2134200000000002,288.19999999999635
0.51300000000000001,5.3431100000000002,290.42222222222449
0.51749999999999996,5.4737999999999998,213.75555555555272
