r_main ,f_axial ,f_tan,area_main,r_small,area_small,f_axial_b1,f_axial_b2,f_axial_b3,moment_b1,moment_b2,moment_b3
0.14999999999999999,0.18088219999999999,0.044858527000000002,0.01,0.012500000000000001,0.00021100000000000001,0.0067837666000000003,0.0039407569,0.0032545930000000001,0.00064939187000000002,0.00041741991999999999,0.00042754335000000002
0.25,0.43558222000000002,0.10110524999999999,0.01,0.017500000000000002,0.00020300000000000000,0.018273942000000001,0.013341506,0.011446469000000001,0.0013203357,0.0010034743,0.0009908114
0.34999999999999998,0.86738073999999998,0.18222973000000001,0.01,0.022499999999999999,0.00019500,0.030531203999999999,0.024483923000000001,0.022066671,0.0021829329000000001,0.0017721537000000001,0.001784115
0.45000000000000001,1.4300575,0.27319559999999998,0.01,0.0275,0.00018599999999999999,0.043896168999999999,0.037338316000000003,0.035152037999999997,0.0031539280999999999,0.0026708540999999999,0.0027351013999999999
0.55000000000000004,2.1063334,0.36456,0.01,0.032500000000000001,0.00017799999999999999,0.057309918000000001,0.050731233000000001,0.049615473,0.0041643584999999997,0.0036464519000000001,0.0037682147
0.65000000000000002,2.8692218,0.45275346,0.01,0.037499999999999999,0.00017000,0.069529911999999999,0.062653173000000006,0.064058299999999999,0.0051187610000000003,0.0046167726999999997,0.0048076168000000001
0.75,3.8824874999999999,0.53844504999999998,0.01,0.042500000000000003,0.00016200,0.078796833999999996,0.069134058999999998,0.076309150000000006,0.0058908038999999999,0.0054001895000000003,0.0057201285999999999
0.8125,1.1696873999999999,0.14696491,0.0025000000000000001,0.047500000000000001,0.00015300000000000001,0.084792275,0.071088534999999994,0.083875894000000006,0.0064156276000000003,0.0057698966999999999,0.0063300270999999998
0.83750000000000002,1.2496426,0.15127162,0.0025000000000000001,0.052499999999999998,0.00014500000000000000,0.090936112,0.072246879999999999,0.087939909999999996,0.0067459021999999999,0.0057221049999999999,0.0066113828000000001
0.86250000000000004,1.3405480000000001,0.15570415000000001,0.0025000000000000001,0.057500000000000002,0.00013700000000000000,0.096634450999999996,0.074130426999999999,0.093272043999999998,0.0068521915999999999,0.0055110868000000004,0.0066981239999999997
0.88749999999999996,1.4623413999999999,0.16130727,0.0025000000000000001,0.0625,0.0001280,0.096587126999999995,0.079164816999999998,0.097593473,0.0066949410000000003,0.0054288645,0.0065626625999999997
0.91249999999999998,1.6494366,0.19592783,0.0025000000000000001,0.067500000000000004,0.00012000,0.086153571999999998,0.079873525000000001,0.09229097,0.0059000440000000001,0.0051302971999999999,0.0060331207999999997
0.9375,1.7835346000000001,0.18813808000000001,0.0025000000000000001,0.072499999999999995,0.00011200000000000000,0.059821091999999999,0.064951705999999998,0.069062066000000005,0.0042776595999999998,0.0043866805999999998,0.0047172830999999997
0.96250000000000002,1.8344019,0.13198814,0.0025000000000000001,,,,,,,,
0.98750000000000004,1.8046705000000001,0.23244081999999999,0.0025000000000000001,,,,,,,,
