# Export File Created with QBlade CE v2.0.7.7_beta windows on 19.05.2025 at 18:57:36
15_7 3D correction 0.01	15_7 All Corrections 0.01	15_7 no_correction 0.01	15_7 TipLoss 0.01	30_7 3D correction 0.01	30_7 No correction 0.01	30_7 Simulation(all corrections) 0.01	30_7 TipLoss 0.01
Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]	Radius [m]	Angle of Attack [deg]
6.9955963e-01	2.4125757e+00	6.9955963e-01	2.4032583e+00	6.9955963e-01	2.4394162e+00	6.9955963e-01	2.4302080e+00	6.9955963e-01	5.9699569e+00	6.9955963e-01	6.0515633e+00	6.9955963e-01	5.9380031e+00	6.9955963e-01	6.0211616e+00
7.2540361e-01	2.3484857e+00	7.2540361e-01	2.3333182e+00	7.2540361e-01	2.3725140e+00	7.2540361e-01	2.3574827e+00	7.2540361e-01	5.5702624e+00	7.2540361e-01	5.6385136e+00	7.2540361e-01	5.5239754e+00	7.2540361e-01	5.5931807e+00
7.5058228e-01	2.2807746e+00	7.5058228e-01	2.2567337e+00	7.5058228e-01	2.3023398e+00	7.5058228e-01	2.2784593e+00	7.5058228e-01	5.1830802e+00	7.5058228e-01	5.2377076e+00	7.5058228e-01	5.1199064e+00	7.5058228e-01	5.1755037e+00
7.7499998e-01	2.2105031e+00	7.7499998e-01	2.1733296e+00	7.7499998e-01	2.2299101e+00	7.7499998e-01	2.1929123e+00	7.7499998e-01	4.8142357e+00	7.7499998e-01	4.8574462e+00	7.7499998e-01	4.7322102e+00	7.7499998e-01	4.7765088e+00
7.9856426e-01	2.1386850e+00	7.9856426e-01	2.0825162e+00	7.9856426e-01	2.1561999e+00	7.9856426e-01	2.1002035e+00	7.9856426e-01	4.4633899e+00	7.9856426e-01	4.5000372e+00	7.9856426e-01	4.3532672e+00	7.9856426e-01	4.3910308e+00
8.2118559e-01	2.0821397e+00	8.2118559e-01	1.9992383e+00	8.2118559e-01	2.0821397e+00	8.2118559e-01	1.9992383e+00	8.2118559e-01	4.1570101e+00	8.2118559e-01	4.1570101e+00	8.2118559e-01	4.0101466e+00	8.2118559e-01	4.0101466e+00
8.4277821e-01	2.0086133e+00	8.4277821e-01	1.8915948e+00	8.4277821e-01	2.0086133e+00	8.4277821e-01	1.8915948e+00	8.4277821e-01	3.8285677e+00	8.4277821e-01	3.8285677e+00	8.4277821e-01	3.6362162e+00	8.4277821e-01	3.6362162e+00
8.6326027e-01	1.9382006e+00	8.6326027e-01	1.7722423e+00	8.6326027e-01	1.9382006e+00	8.6326027e-01	1.7722423e+00	8.6326027e-01	3.5163693e+00	8.6326027e-01	3.5163693e+00	8.6326027e-01	3.2648222e+00	8.6326027e-01	3.2648222e+00
8.8255399e-01	1.8701017e+00	8.8255399e-01	1.6384488e+00	8.8255399e-01	1.8701017e+00	8.8255399e-01	1.6384488e+00	8.8255399e-01	3.2220068e+00	8.8255399e-01	3.2220068e+00	8.8255399e-01	2.8944426e+00	8.8255399e-01	2.8944426e+00
9.0058625e-01	1.8047932e+00	9.0058625e-01	1.4872234e+00	9.0058625e-01	1.8047932e+00	9.0058625e-01	1.4872234e+00	9.0058625e-01	2.9454551e+00	9.0058625e-01	2.9454551e+00	9.0058625e-01	2.5229690e+00	9.0058625e-01	2.5229690e+00
9.1728860e-01	1.7429339e+00	9.1728860e-01	1.3188860e+00	9.1728860e-01	1.7429339e+00	9.1728860e-01	1.3188860e+00	9.1728860e-01	2.6888816e+00	9.1728860e-01	2.6888816e+00	9.1728860e-01	2.1457903e+00	9.1728860e-01	2.1457903e+00
9.3259770e-01	1.6851292e+00	9.3259770e-01	1.1251088e+00	9.3259770e-01	1.6851292e+00	9.3259770e-01	1.1251088e+00	9.3259770e-01	2.4526415e+00	9.3259770e-01	2.4526415e+00	9.3259770e-01	1.7674494e+00	9.3259770e-01	1.7674494e+00
9.4645548e-01	1.6319275e+00	9.4645548e-01	9.0330172e-01	9.4645548e-01	1.6319275e+00	9.4645548e-01	9.0330172e-01	9.4645548e-01	2.2378795e+00	9.4645548e-01	2.2378795e+00	9.4645548e-01	1.3849049e+00	9.4645548e-01	1.3849049e+00
9.5880938e-01	1.5838219e+00	9.5880938e-01	6.4913732e-01	9.5880938e-01	1.5838219e+00	9.5880938e-01	6.4913732e-01	9.5880938e-01	2.0458963e+00	9.5880938e-01	2.0458963e+00	9.5880938e-01	9.9348015e-01	9.5880938e-01	9.9348015e-01
9.6961248e-01	1.5412474e+00	9.6961248e-01	3.5568446e-01	9.6961248e-01	1.5412474e+00	9.6961248e-01	3.5568446e-01	9.6961248e-01	1.8808986e+00	9.6961248e-01	1.8808986e+00	9.6961248e-01	5.8967733e-01	9.6961248e-01	5.8967733e-01
9.7882390e-01	1.5045822e+00	9.7882390e-01	1.4969816e-02	9.7882390e-01	1.5045822e+00	9.7882390e-01	1.4969816e-02	9.7882390e-01	1.7410553e+00	9.7882390e-01	1.7410553e+00	9.7882390e-01	1.6306448e-01	9.7882390e-01	1.6306448e-01
9.8640859e-01	1.4747717e+00	9.8640859e-01	-3.9221227e-01	9.8640859e-01	1.4747717e+00	9.8640859e-01	-3.9221227e-01	9.8640859e-01	1.6257979e+00	9.8640859e-01	1.6257979e+00	9.8640859e-01	-3.0710343e-01	9.8640859e-01	-3.0710343e-01
9.9233788e-01	1.4514058e+00	9.9233788e-01	-8.4802282e-01	9.9233788e-01	1.4514058e+00	9.9233788e-01	-8.4802282e-01	9.9233788e-01	1.5356383e+00	9.9233788e-01	1.5356383e+00	9.9233788e-01	-8.1123048e-01	9.9233788e-01	-8.1123048e-01
9.9658924e-01	1.4345735e+00	9.9658924e-01	-1.3996584e+00	9.9658924e-01	1.4345735e+00	9.9658924e-01	-1.3996584e+00	9.9658924e-01	1.4716662e+00	9.9658924e-01	1.4716662e+00	9.9658924e-01	-1.3868786e+00	9.9658924e-01	-1.3868786e+00
9.9914646e-01	1.4244169e+00	9.9914646e-01	-2.0878479e+00	9.9914646e-01	1.4244169e+00	9.9914646e-01	-2.0878479e+00	9.9914646e-01	1.4336956e+00	9.9914646e-01	1.4336956e+00	9.9914646e-01	-2.0860806e+00	9.9914646e-01	-2.0860806e+00
