r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.157307621356134658e-01,-1.000915716082834139e+00,4.725812703093970057e+00,2.087132297616780263e-01,3.041612806111603007e+00,9.255519149114453670e-03,3.591259950082087947e-03,5.263275745816742984e-02,4.714406560484031061e+00,0.000000000000000000e+00,4.714406560484031061e+00,1.140614260993940560e-02,1.369333297387141934e-01,-1.000915716082834139e+00,2.179091417090522342e-01,3.548291530828577567e-02,3.269359665599646905e+04,3.114525681331019147e+00,1.000000000000000056e-01,1.500000000000000000e+01,6.121208041097810337e+01
1.469546152836118391e-01,-1.124807482219643440e+00,5.974986497632737148e+00,1.860750102323698307e-01,4.172020574164934104e+00,2.198833544247063079e-02,6.656397994281717384e-03,9.896920427027876277e-02,5.986340965893217181e+00,0.000000000000000000e+00,5.986340965893217181e+00,-1.135446826048031044e-02,1.792980892728096576e-01,-1.124807482219643440e+00,3.255575845281071246e-01,3.525771996726564939e-02,4.114875690885931544e+04,7.371100331764230518e+00,1.000000000000000056e-01,1.483333333333333393e+01,5.017512340420372752e+00
1.777003428073752611e-01,-1.271564865530149024e+00,7.192794491215733999e+00,1.749753045049141642e-01,4.641320199518663259e+00,3.899365372068779728e-02,1.022699044173815651e-02,1.471993435827695929e-01,7.238798453169025926e+00,0.000000000000000000e+00,7.238798453169025926e+00,-4.600396195329170546e-02,2.027465497127274308e-01,-1.271564865530149024e+00,4.030450931315614493e-01,3.292955174673518198e-02,4.943535158038613008e+04,1.317103664070749325e+01,1.000000000000000056e-01,1.466666666666666607e+01,4.338660275621361961e+01
2.079624211496821362e-01,-1.429672923896073700e+00,8.383592372948024618e+00,1.689074178385622793e-01,4.822317829397666955e+00,6.039531363409724601e-02,1.426460835175708680e-02,1.980357515901654542e-01,8.471554014768758023e+00,0.000000000000000000e+00,8.471554014768758023e+00,-8.796164182073362703e-02,1.953172119399574913e-01,-1.429672923896073700e+00,4.657115771768335355e-01,2.939247444517381971e-02,5.755890197419084143e+04,2.063160909216375316e+01,1.000000000000000056e-01,1.450000000000000000e+01,8.866264820203295649e-01
2.377354136422590580e-01,-1.593259622098614381e+00,9.552991643107153763e+00,1.652601348013486016e-01,4.864625087453001484e+00,8.628430991051767862e-02,1.875194060546327146e-02,2.517586229304980550e-01,9.684386182656584907e+00,0.000000000000000000e+00,9.684386182656584907e+00,-1.313945395494315327e-01,1.631221958009232420e-01,-1.593259622098614381e+00,5.198954290220388907e-01,2.535951774895080918e-02,6.554726778266570182e+04,2.986869524575041268e+01,1.000000000000000056e-01,1.433333333333333393e+01,3.273126315895328542e+00
2.670139714824940613e-01,-1.764216843903392729e+00,1.070297138287570071e+01,1.633653105235665093e-01,4.806523854822172481e+00,1.162636142923590271e-01,2.363283076838933877e-02,3.073460170584333406e-01,1.087707706809091768e+01,0.000000000000000000e+00,1.087707706809091768e+01,-1.741056852152167433e-01,1.175142703429996605e-01,-1.764216843903392729e+00,5.666709377506080614e-01,2.107393220914735577e-02,7.341471462732428336e+04,4.084023527453063451e+01,1.000000000000000056e-01,1.416666666666666607e+01,1.635030922958616202e+02
2.957928346943640152e-01,-1.914102004828144743e+00,1.184121830536174969e+01,1.602611152383802695e-01,4.817714476781086219e+00,1.484168659732927609e-01,2.863364663323615666e-02,3.604287795174145326e-01,1.204941240076873932e+01,0.000000000000000000e+00,1.204941240076873932e+01,-2.081940954069895766e-01,6.607093592954724204e-02,-1.914102004828144743e+00,6.009675563450203040e-01,1.822962498832097697e-02,8.118112553396956355e+04,5.296051856894122523e+01,1.000000000000000056e-01,1.400000000000000000e+01,3.119290936903378153e+01
3.240668330734038927e-01,-2.000576495692511614e+00,1.297745905440765135e+01,1.529537514493202188e-01,5.069728914594286096e+00,1.803741986743438441e-01,3.329034559676660732e-02,4.067809667318328382e-01,1.320118156731985160e+01,0.000000000000000000e+00,1.320118156731985160e+01,-2.237225129122002443e-01,1.180076397898220317e-02,-2.000576495692511614e+00,6.195840040369692270e-01,1.831722207909448549e-02,8.886837539068172919e+04,6.543132938411295640e+01,1.000000000000000056e-01,1.383333333333333393e+01,1.946960016648953911e+02
3.518308871155490514e-01,-2.087543300525641854e+00,1.409463522808457547e+01,1.470401152378898180e-01,5.241888644418315479e+00,2.131137916768829632e-01,3.786207870631756039e-02,4.506320241687910011e-01,1.433217764914418169e+01,0.000000000000000000e+00,1.433217764914418169e+01,-2.375424210596061014e-01,-4.571535380143884608e-02,-2.087543300525641854e+00,6.325367384772859758e-01,1.821362815541980110e-02,9.643246464935044060e+04,7.865445999636555996e+01,1.000000000000000056e-01,1.366666666666666607e+01,2.043933061398913367e+02
3.790800089296826325e-01,-2.170725660048875127e+00,1.519264014030657428e+01,1.419195343117716779e-01,5.368609653473408017e+00,2.464840086969489752e-01,4.233148094277046358e-02,4.926763045145836628e-01,1.544219745958529977e+01,0.000000000000000000e+00,1.544219745958529977e+01,-2.495573192787255978e-01,-1.078764677461912236e-01,-2.170725660048875127e+00,6.420512271707490282e-01,1.808655729316400659e-02,1.038673668322752928e+05,9.262303115051221880e+01,1.000000000000000056e-01,1.350000000000000000e+01,1.470000000000000000e+02
