r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,1.378147958605994705e-01,-2.726900531217972379e+00,-5.049602607202680060e-02,9.289320917610970696e+01,7.334608495933664851e-04,1.215081447173035597e-04
1.890624999999999944e-02,-2.878391955260024559e+01,-3.250928081868302399e+00,1.458330407772730819e+00,1.898367953575643696e+00,6.225250885209238257e-03,6.547215151594515392e-02
2.901041666666666352e-02,-4.141818850676033037e+01,-8.904479276849917468e+00,1.359030118903094664e+00,3.042400864781143355e+00,3.041886563468278182e-02,1.520516175504740830e-01
3.911458333333332760e-02,-4.616276989535117536e+01,-1.942609026917463666e+01,1.172473826674026665e+00,9.185834505661432559e+00,1.131971781833520652e-01,2.982874360296807748e-01
4.921874999999999167e-02,-4.847004822593888207e+01,-3.001408710970294536e+01,1.016357299880465082e+00,1.358519805771899769e+01,8.359690188525231713e-02,2.211481399067377340e-01
5.932291666666666269e-02,-5.003625313482799442e+01,-4.008320256673202664e+01,8.953952360627698281e-01,1.597035925021050673e+01,1.234562267872724162e-01,2.487227665023545864e-01
6.942708333333333370e-02,-5.141050730557081749e+01,-4.969067988099460820e+01,8.024074746724572105e-01,1.675271097879043225e+01,1.643143933062355677e-01,2.657798534716462324e-01
7.953124999999999778e-02,-5.286941488306177206e+01,-5.889833813707153354e+01,7.315088630455155450e-01,1.626944765289678685e+01,2.003364876046948573e-01,2.778960845252913536e-01
8.963541666666666186e-02,-5.470601804711772331e+01,-6.769297780560356159e+01,6.796901816389756545e-01,1.469298485197001014e+01,2.231529170631508241e-01,2.781603749464434672e-01
9.973958333333332593e-02,-5.753249030369294559e+01,-7.593213501829150403e+01,6.484001431462018683e-01,1.194031745295328761e+01,3.417341561554547158e-01,3.119693318745575539e-01
1.098437499999999900e-01,-6.350294202781534381e+01,-8.321233136150701171e+01,6.518599585111238826e-01,7.196630089194194113e+00,4.222070063531393469e-01,3.374472105744561468e-01
1.199479166666666541e-01,-9.172928364216778618e+01,-9.037361321881563470e+01,7.928425555698922489e-01,-5.426532252521262478e+00,1.630842130773416665e-01,1.766670724593419617e-01
