r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,2.639453692286079445e+01,-7.537508810499043754e+00,-1.292629336924028927e+00,9.406220548054096753e+01,7.110363506910674647e-02,-1.323999721650863659e-01
1.890624999999999944e-02,-4.921699881052730596e+00,-1.240839144619814505e+01,3.776089455214212132e-01,2.000964751600772473e+00,2.629221726165980461e-02,1.095628793370793420e-02
2.901041666666666352e-02,-2.283912212734946223e+01,-1.353742479519086217e+01,1.035739824967298439e+00,-3.207079337151753151e+01,2.953745369863996703e-02,5.374262003296868123e-02
3.911458333333332760e-02,-3.563597804656883028e+01,-1.243885372069875395e+01,1.234965191944337626e+00,-3.984920243488325298e+01,3.427823759462817615e-02,1.095237208603094398e-01
4.921874999999999167e-02,-4.391927787467223965e+01,-1.407638226461505937e+01,1.260634653698121221e+00,-3.768359061938389232e+01,4.320745725837107920e-02,1.515997323434102595e-01
5.932291666666666269e-02,-4.883263651139353811e+01,-1.850954892437354360e+01,1.208487979302441895e+00,-3.105944262450493198e+01,5.976357135665397169e-02,1.745961509905271936e-01
6.942708333333333370e-02,-5.206388801599729987e+01,-2.381709904304515391e+01,1.141756757248569398e+00,-2.359966160270407443e+01,7.750562194314031261e-02,1.851080783382643979e-01
7.953124999999999778e-02,-5.473963028320117985e+01,-2.907246241186892277e+01,1.082575879291680199e+00,-1.657248343153188586e+01,9.261185486920404941e-02,1.889599619560885235e-01
8.963541666666666186e-02,-5.770572439054821245e+01,-3.393966792406922650e+01,1.039135035644268346e+00,-1.044714279568384541e+01,1.036918477563373575e-01,1.901915586443268247e-01
9.973958333333332593e-02,-6.226157067473614148e+01,-3.825151984784557868e+01,1.019879015010976664e+00,-5.707490446815768337e+00,1.108281981257288190e-01,1.942838420434851165e-01
1.098437499999999900e-01,-7.255885805378150621e+01,-4.223287058690876705e+01,1.043680057329951394e+00,-3.434826083341654623e+00,1.185875587151541816e-01,2.198853361116966387e-01
1.199479166666666541e-01,-1.223557734587504626e+02,-5.022403537036559840e+01,1.181292175737536310e+00,-7.683056041587178697e+00,1.772810104891231475e-01,4.753206497259968022e-01
