r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
3.147727272727273151e-01,-1.960954949865940655e+00,1.283925698752559974e+01,1.515599582536555912e-01,5.037184281444726963e+00,1.984923600480809069e-01,3.295549869899412621e-02,6.182143378557304336e-01,1.318516916733898192e+01,0.000000000000000000e+00,1.318516916733898192e+01,-3.459121798133816816e-01,3.668351969199298290e-01,-1.960954949865940655e+00,1.025374742515578141e+00,1.329808699103392743e-02,2.800000000000000000e+01
3.352272727272727071e-01,-2.066862568043066339e+00,1.368874182873597789e+01,1.498579818242606332e-01,5.006793370935618270e+00,2.233873341625169096e-01,3.669097686139709269e-02,6.525567428002962966e-01,1.404196716377255960e+01,0.000000000000000000e+00,1.404196716377255960e+01,-3.532253350365815447e-01,3.390469265528826548e-01,-2.066862568043066339e+00,1.022943469674849393e+00,1.323426607896479971e-02,3.000000000000000000e+00
3.556818181818182101e-01,-2.169915505349187868e+00,1.453994849952922941e+01,1.481448118690920079e-01,4.977043802211211343e+00,2.494639396490544447e-01,4.053389263831382733e-02,6.860534861046918564e-01,1.489876516020614261e+01,0.000000000000000000e+00,1.489876516020614261e+01,-3.588166606769134237e-01,3.067570470738644750e-01,-2.169915505349187868e+00,1.020301803522104755e+00,1.319474818243233406e-02,2.000000000000000000e+00
3.761363636363636576e-01,-2.270363366131939564e+00,1.539251729819587133e+01,1.464419735491091779e-01,4.946702274395187615e+00,2.766751272048688648e-01,4.447253034992433574e-02,7.187268987919057661e-01,1.575556315663972207e+01,0.000000000000000000e+00,1.575556315663972207e+01,-3.630458584438512326e-01,2.702505285135341495e-01,-2.270363366131939564e+00,1.017528587879720225e+00,1.316137250183470678e-02,0.000000000000000000e+00
3.965909090909091050e-01,-2.368279019820016096e+00,1.624616571997832892e+01,1.447550303351859136e-01,4.915450024087041569e+00,3.049721660258816747e-01,4.849414408030278817e-02,7.505907679655979825e-01,1.661236115307330152e+01,0.000000000000000000e+00,1.661236115307330152e+01,-3.661954330949735437e-01,2.296933094453693924e-01,-2.368279019820016096e+00,1.014672132201555499e+00,1.312699502649574725e-02,0.000000000000000000e+00
4.170454545454545525e-01,-2.463594874143663738e+00,1.710067550532618341e+01,1.430797551788748345e-01,4.883529243322596969e+00,3.343027846553086047e-01,5.258488937785228690e-02,7.816478828549004998e-01,1.746915914950688276e+01,0.000000000000000000e+00,1.746915914950688276e+01,-3.684836441807001206e-01,1.851770932461784258e-01,-2.463594874143663738e+00,1.011754572839685284e+00,1.309188216765485788e-02,0.000000000000000000e+00
4.375000000000000000e-01,-2.556266563586736318e+00,1.795587869649654778e+01,1.414135146795820197e-01,4.851090814841661825e+00,3.646148279526063574e-01,5.673147620911948158e-02,8.119002638485608436e-01,1.832595714594046044e+01,0.000000000000000000e+00,1.832595714594046044e+01,-3.700784494439134931e-01,1.367497849908847485e-01,-2.556266563586736318e+00,1.008789700476527829e+00,1.305619989632582877e-02,0.000000000000000000e+00
4.579545454545454475e-01,-2.646257976712198534e+00,1.881164515910193913e+01,1.397542447235230467e-01,4.818253003652513300e+00,3.958572121738256899e-01,6.092110395765255176e-02,8.413514309861767071e-01,1.918275514237404167e+01,0.000000000000000000e+00,1.918275514237404167e+01,-3.711099832721015401e-01,8.443414991828432359e-02,-2.646257976712198534e+00,1.005788324533839706e+00,1.302007830401776499e-02,0.000000000000000000e+00
4.784090909090908950e-01,-2.733534489465036188e+00,1.966787237990838477e+01,1.381000775290155969e-01,4.785122825762598175e+00,4.279803174909245778e-01,6.514141151977037580e-02,8.700069790114519641e-01,2.003955313880761935e+01,0.000000000000000000e+00,2.003955313880761935e+01,-3.716807588992335210e-01,2.823810537729782091e-02,-2.733534489465036188e+00,1.002760226274701516e+00,1.298363510833885903e-02,0.000000000000000000e+00
4.988636363636363424e-01,-2.818059878259529860e+00,2.052447752185066321e+01,1.364492169786801490e-01,4.751803191117278224e+00,4.609361256124019368e-01,6.938043732882913373e-02,8.978745194888392289e-01,2.089635113524120058e+01,0.000000000000000000e+00,2.089635113524120058e+01,-3.718736133905375940e-01,-3.184032422469409290e-02,-2.818059878259529860e+00,9.997148116681192631e-01,1.294698351022900706e-02,0.000000000000000000e+00
5.193181818181817899e-01,-2.899795079371188855e+00,2.138139135707500316e+01,1.347999128060468343e-01,4.718394382598296133e+00,4.946782242109147854e-01,7.362658718061076968e-02,9.249633828997485541e-01,2.175314913167477826e+01,0.000000000000000000e+00,2.175314913167477826e+01,-3.717577745997744376e-01,-9.581110290280414610e-02,-2.899795079371188855e+00,9.966612465694842937e-01,1.291023382085812639e-02,0.000000000000000000e+00
