r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
3.145833333333333121e-02,-4.215313321152079595e+01,1.211504436903917359e+01,1.290933747041629998e+00,2.603494466350558412e+01,-3.228683082714324526e-03,7.109171278609771605e-02
3.437500000000000278e-02,-4.128424865079514916e+01,1.299922935099094268e+01,1.265752494031996855e+00,2.660815896641736344e+01,-1.360645128221038558e-03,6.733848509717502151e-02
3.729166666666666741e-02,-4.164664056992597807e+01,1.389366302307230150e+01,1.248798364693150642e+00,2.670999380546086854e+01,-2.186331165729832327e-04,6.728854514279634935e-02
4.020833333333333204e-02,-4.217948593827841108e+01,1.479489162526738077e+01,1.233444288216430706e+00,2.672015236850671727e+01,8.191029802504141977e-04,6.766375282905875976e-02
4.312499999999999667e-02,-4.281411058114247936e+01,1.569972558172457333e+01,1.219326448342798352e+00,2.665947979171605198e+01,1.789836856445826963e-03,6.823949692188363558e-02
4.604166666666666824e-02,-4.355929123765888988e+01,1.660499234703903682e+01,1.206597331461884970e+00,2.651923924852981429e+01,2.689768673774829699e-03,6.901874264997068242e-02
4.895833333333333287e-02,-4.436847503778775348e+01,1.750745798143189447e+01,1.194960447607953613e+00,2.631641836265269774e+01,3.536677188024507645e-03,6.985071329268505158e-02
5.187499999999999750e-02,-4.520167095795456191e+01,1.840383935224853929e+01,1.184141791732992832e+00,2.606671646690107025e+01,4.341344210414037341e-03,7.060852919773714931e-02
5.479166666666666907e-02,-4.604478611853181746e+01,1.929084137974314572e+01,1.174054235342761654e+00,2.577512565627021957e+01,5.102002973844020628e-03,7.124009154523584797e-02
5.770833333333333370e-02,-4.689582471654392748e+01,2.016517956840115033e+01,1.164698719460409704e+00,2.544159201410531068e+01,5.811852366050845181e-03,7.172726746105545503e-02
6.062499999999999833e-02,-4.774484111791544194e+01,2.102357666345807274e+01,1.156011418848736483e+00,2.506977245712428726e+01,6.466861237209752672e-03,7.203184078113923638e-02
6.354166666666666297e-02,-4.860769414183901915e+01,2.186274688470579619e+01,1.148125740698767716e+00,2.465202331632472976e+01,7.054648160870750917e-03,7.218297921154510910e-02
6.645833333333334147e-02,-4.950107135212765996e+01,2.267940402854610227e+01,1.141177413477531211e+00,2.418056792338613548e+01,7.564044926843309369e-03,7.220878193288356173e-02
6.937499999999999223e-02,-5.044491778814303728e+01,2.347036351624983652e+01,1.135319015019657485e+00,2.364666421233694393e+01,7.984545091177776277e-03,7.214158678394282098e-02
7.229166666666667074e-02,-5.145990065453782591e+01,2.423288107533917568e+01,1.130691951223513625e+00,2.304221022200246694e+01,8.307547598290446894e-03,7.201099439616896747e-02
7.520833333333333537e-02,-5.256568267009747331e+01,2.496553834373302294e+01,1.127397054531138476e+00,2.236142867901588716e+01,8.527780561298745760e-03,7.184010061976969785e-02
7.812500000000000000e-02,-5.380126256841103327e+01,2.567036299476311356e+01,1.125609014590959411e+00,2.159431060379765199e+01,8.640296834288279521e-03,7.169261717187883076e-02
8.104166666666667851e-02,-5.528629749912849434e+01,2.635769132981772955e+01,1.125921867824144273e+00,2.070682021653783522e+01,8.630925841030218787e-03,7.180395707284717433e-02
8.395833333333332926e-02,-5.712703713029444685e+01,2.705695897461443522e+01,1.128468091058577150e+00,1.969136715411538319e+01,8.511796510952199246e-03,7.236751215252648639e-02
8.687500000000000777e-02,-5.972643246022573038e+01,2.783947802008301764e+01,1.134621008897346739e+00,1.846926571287181673e+01,8.265373204894226056e-03,7.420516072603977609e-02
8.979166666666665853e-02,-6.392240934378654060e+01,2.886130866086018543e+01,1.146691270663916518e+00,1.690812543863793849e+01,9.463315747670925093e-03,8.038585540727376244e-02
9.270833333333333703e-02,-7.186232959192048497e+01,3.042054588298331552e+01,1.170352057433559523e+00,1.468289699938712545e+01,7.869446893186318737e-03,7.595690490615443491e-02
9.562500000000000167e-02,-9.112185318360535291e+01,3.294161616696499095e+01,1.223903128988507172e+00,1.074508139349424596e+01,2.315854277801903532e-02,1.130915706007496052e-01
9.854166666666666630e-02,-1.864139032920415389e+02,3.663708598381714410e+01,1.376733521580572495e+00,1.118979699250147064e+00,5.479398813593093845e-03,9.463841128197075792e-02
3.145833333333333121e-02,-1.618715896523115134e+02,1.003751161974894401e+01,1.508866521404494510e+00,1.354831647493656988e+01,2.976620674787386345e-02,1.573391198185955631e+00
3.437500000000000278e-02,-9.214462083000026382e+01,1.098361869017044157e+01,1.452156334004209626e+00,1.592800565097758181e+01,-4.361140193586290903e-02,3.291612570639999569e-01
