r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,2.639453691886824060e+01,-7.537508809783936670e+00,-1.292629336909139504e+00,1.240622054796878615e+02,7.110363505017187891e-02,-1.323999721250987971e-01
1.890624999999999944e-02,-4.921699884427808591e+00,-1.240839144557952523e+01,3.776089457735319899e-01,2.563732837351952298e+01,2.758471362141730332e-02,1.856064999229891169e-02
2.901041666666666352e-02,-2.283912212870493619e+01,-1.353742479491089590e+01,1.035739825002401693e+00,-1.479806610080153462e+01,2.953745369903030410e-02,5.374262003814826022e-02
3.911458333333332760e-02,-3.563597804764667387e+01,-1.243885372089492769e+01,1.234965191948841357e+00,-2.894011152605038006e+01,3.427823759610068577e-02,1.095237208667447643e-01
4.921874999999999167e-02,-4.391927787512435089e+01,-1.407638226510539958e+01,1.260634653690988483e+00,-3.313813607352066981e+01,4.320745726053950436e-02,1.515997323469163161e-01
5.932291666666666269e-02,-4.883263651151580831e+01,-1.850954892498369730e+01,1.208487979292346637e+00,-3.287762444210832058e+01,5.976357135917320651e-02,1.745961509921343524e-01
6.942708333333333370e-02,-5.206388801592630244e+01,-2.381709904372701558e+01,1.141756757237223363e+00,-3.178147978387217165e+01,7.750562194583375530e-02,1.851080783388017181e-01
7.953124999999999778e-02,-5.473963028299380795e+01,-2.907246241263457875e+01,1.082575879279201070e+00,-3.111793797627142411e+01,9.261185487208803413e-02,1.889599619560058952e-01
8.963541666666666186e-02,-5.770572439020674693e+01,-3.393966792495688622e+01,1.039135035630253556e+00,-3.135623370397177112e+01,1.036918477594850618e-01,1.901915586437580297e-01
9.973958333333332593e-02,-6.226157067417729962e+01,-3.825151984891425627e+01,1.019879014994512501e+00,-3.298021771859971807e+01,1.108281981291801138e-01,1.942838420421031664e-01
1.098437499999999900e-01,-7.255885805265748445e+01,-4.223287058820728390e+01,1.043680057309849030e+00,-3.707118971855349798e+01,1.185875587186753649e-01,2.198853361076457125e-01
1.199479166666666541e-01,-1.223557734545310893e+02,-5.022403537146071528e+01,1.181292175717762571e+00,-4.768305604045421831e+01,1.772810104891730520e-01,4.753206496974251571e-01
