r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
3.250000000000000111e-01,-2.113648921741543951e+00,1.315037672512645450e+01,1.593661344895461185e-01,5.868993096434740764e+00,4.804332120261021188e+00,8.490601167991629339e-01,6.644059614063072550e-01,1.361356816555577076e+01,0.000000000000000000e+00,1.361356816555577076e+01,-4.631914404293166476e-01,-1.414823908793022555e-02,-2.113648921741543951e+00,7.526451683122233760e+01
7.750000000000000222e-01,-3.142287418107201802e+00,3.210464214311173237e+01,9.756565834494172751e-02,3.909899551419497854e+00,2.028384015681309904e+01,2.258587399667290718e+00,1.147626651181504309e+00,3.246312408709453479e+01,0.000000000000000000e+00,3.246312408709453479e+01,-3.584819439828016985e-01,-1.729755257525797063e+00,-3.142287418107201802e+00,6.079049318105633759e+00
3.250000000000000111e-01,-2.113648921741543507e+00,1.315037672512645273e+01,1.593661344895461185e-01,5.868993096434740764e+00,4.804332120261018524e+00,8.490601167991624898e-01,6.644059614063069219e-01,1.361356816555577076e+01,0.000000000000000000e+00,1.361356816555576721e+01,2.438484546836216793e-01,-3.940614346833301029e-01,-2.113648921741543507e+00,7.268728127785161064e+01
7.750000000000000222e-01,-3.142287418107200914e+00,3.210464214311172526e+01,9.756565834494172751e-02,3.909899551419497854e+00,2.028384015681308838e+01,2.258587399667289830e+00,1.147626651181504087e+00,3.246312408709452768e+01,0.000000000000000000e+00,3.246312408709452768e+01,1.677252967338434209e+00,5.544231584757624010e-01,-3.142287418107200914e+00,1.025554769049078718e+00
3.250000000000000111e-01,-2.113648921741544395e+00,1.315037672512645273e+01,1.593661344895461740e-01,5.868993096434737211e+00,4.804332120261018524e+00,8.490601167991627118e-01,6.644059614063069219e-01,1.361356816555577076e+01,0.000000000000000000e+00,1.361356816555577076e+01,2.193429857456951904e-01,4.082096737712601064e-01,-2.113648921741544395e+00,1.952953986834934819e+00
7.750000000000000222e-01,-3.142287418107200914e+00,3.210464214311172526e+01,9.756565834494172751e-02,3.909899551419497854e+00,2.028384015681308838e+01,2.258587399667289830e+00,1.147626651181504087e+00,3.246312408709452768e+01,0.000000000000000000e+00,3.246312408709452768e+01,-1.318771023355632455e+00,1.175332099050035328e+00,-3.142287418107200914e+00,2.216769813639880340e+02
4.750000000000000056e-02,-4.692184260714036981e+01,2.087867416793178776e+01,1.152135674267788623e+00,3.398748843799634756e+01,2.381644289087046229e-01,1.151281377083963608e+00,5.216623765361494414e-01,4.857896770384360963e+01,-4.387757739513745037e+01,2.084884421508309060e+01,3.044265212002918553e+00,-2.386141299946539007e+00,2.982995284869649488e-02,7.815562442546166722e+00
8.250000000000000389e-02,-4.697928155235555181e+01,3.587719479346014850e+01,9.185965853226687461e-01,2.736829258588205960e+01,3.959500123849722386e-01,8.464677725515775686e-01,3.602579529301188077e-01,5.802839282680854183e+01,-4.534365396681268123e+01,3.621115047882845062e+01,1.635627585542870577e+00,-1.463985293890933903e+00,-3.339556853682986715e-01,2.294925438065342007e+02
4.750000000000000056e-02,-3.998064454679116864e+01,1.928235989854232812e+01,1.121414907162213037e+00,3.574765873655016435e+01,2.042398039687066957e-01,8.541325635073871991e-01,4.508673110642895110e-01,4.590116576972186380e+01,-4.089306437422714424e+01,2.084884421508302665e+01,-9.124198274359789362e-01,-2.865942210072935925e+00,-1.830988886321169629e+00,2.546386223809427065e+02
8.250000000000000389e-02,-3.948515502092885754e+01,3.418934071117288909e+01,8.571559871288687571e-01,3.088857955314590242e+01,3.491175283443360144e-01,6.406208707329368313e-01,3.183166442909356464e-01,5.407471788572257054e+01,-4.016002608838952170e+01,3.621115047882844351e+01,-6.748710674606659410e-01,-3.943250150659531439e+00,-2.786290072584830746e+00,6.000000000000000000e+00
