r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm,  misc
3.131578947368421351e-01,-2.212672152732333863e+00,1.277879858207291974e+01,1.714518380517712215e-01,3.954311067650797540e+00,4.111816679756931658e-01,7.683832335748698450e-02,5.558009374949376413e-01,1.311752722025211959e+01,0.000000000000000000e+00
3.605263157894736947e-01,-2.486209575488602219e+00,1.474321982017500687e+01,1.670623220235442630e-01,3.900256254617673335e+00,5.343877500437548278e-01,9.746154600728852702e-02,6.260613773388624681e-01,1.510169100146672605e+01,0.000000000000000000e+00
4.078947368421052544e-01,-2.744173147665296408e+00,1.671301035389541312e+01,1.627417116913714712e-01,3.842253436016234147e+00,6.699959236514838601e-01,1.192391494785293160e-01,6.923855498035448308e-01,1.708585478268133073e+01,0.000000000000000000e+00
4.552631578947368696e-01,-2.986135525049155248e+00,1.868464515870783771e+01,1.584774297888587036e-01,3.781023236128678633e+00,8.164361724132843667e-01,1.417564939056643880e-01,7.546508826055946528e-01,1.907001856389593897e+01,0.000000000000000000e+00
5.026315789473684292e-01,-3.211519236811011702e+00,2.065555319482775332e+01,1.542447127440847443e-01,3.717984503111756212e+00,9.722438980665324415e-01,1.646281408574922778e-01,8.128781736420018778e-01,2.105418234511054365e+01,0.000000000000000000e+00
5.500000000000000444e-01,-3.419125705503256452e+00,2.262320275379782686e+01,1.499984020767501647e-01,3.655724627295853679e+00,1.136156081988359823e+00,1.874883584409076376e-01,8.672595577434274450e-01,2.303834612632515189e+01,0.000000000000000000e+00
5.973684210526315486e-01,-3.606450544694808968e+00,2.458471457501491386e+01,1.456559515026470963e-01,3.598973162380564972e+00,1.307367353648258179e+00,2.099825397657758830e-01,9.182791923526154587e-01,2.502250990753975657e+01,0.000000000000000000e+00
6.447368421052631637e-01,-3.768162496354248603e+00,2.653752403501389523e+01,1.410508254095667324e-01,3.557271896084085228e+00,1.486316858596020474e+00,2.317662120154350414e-01,9.670920413341609345e-01,2.700667368875436125e+01,0.000000000000000000e+00
6.921052631578947789e-01,-3.892806443841897224e+00,2.848397800002271651e+01,1.358250664011764197e-01,3.551130276461761603e+00,1.677004001611229311e+00,2.525408471784293396e-01,1.016527158829281685e+00,2.899083746996896949e+01,0.000000000000000000e+00
7.394736842105262831e-01,-3.955091246557936646e+00,3.045343373204130444e+01,1.291505146096329215e-01,3.627998368703132748e+00,1.894642788958012858e+00,2.722602314236270415e-01,1.074069369227229398e+00,3.097500125118357417e+01,0.000000000000000000e+00
7.868421052631578982e-01,-3.895560593103205349e+00,3.260834233711620556e+01,1.189016377692845156e-01,3.909660200848914080e+00,2.195840123639832608e+00,2.920567448733976668e-01,1.162355640289927994e+00,3.295916503239818240e+01,0.000000000000000000e+00
8.342105263157895134e-01,-3.550878406050989700e+00,3.575630833472516201e+01,9.898320617319596171e-02,4.745346710269260804e+00,2.809250269225390007e+00,3.157696547439991508e-01,1.355725268009463136e+00,3.494332881361279419e+01,0.000000000000000000e+00
8.815789473684210176e-01,-2.254757192169313029e+00,4.294550379072553881e+01,5.245459099777372014e-02,7.105684430853754563e+00,4.558831622217012658e+00,3.398268616492393646e-01,1.831520255721982959e+00,3.692749259482739177e+01,0.000000000000000000e+00
9.289473684210526327e-01,1.767211330058952612e+01,5.326653672344971824e+01,-3.203407711870502883e-01,2.815972975053954741e+01,5.469345811559388260e+00,-5.801158515058750798e-01,1.650157955745718663e+00,3.891165637604199645e+01,0.000000000000000000e+00
9.763157894736842479e-01,-1.038218429895147565e+01,9.934645635383878570e-01,1.475397431788067815e+00,-7.503404594589704857e+01,5.847921188922395805e-03,9.287019407704516505e-02,1.536785049338837972e-01,4.089582015725660824e+01,0.000000000000000000e+00
3.583333333333332815e-02,-4.437711699476690086e+01,1.699412702769210171e+01,1.205075842349954574e+00,3.095424024017503939e+01,5.721799358714883821e-02,3.759128436246529925e-01,5.470397142010798852e-01,4.781069463117835028e+01,0.000000000000000000e+00
4.750000000000000056e-02,-4.627647515928462951e+01,2.240316996514897951e+01,1.119936684945230354e+00,3.183235463076573524e+01,9.190445274681290078e-02,3.818487655692595628e-01,5.222391662417997793e-01,5.132104011150663325e+01,0.000000000000000000e+00
5.916666666666666602e-02,-4.821109992021099799e+01,2.798439789788600862e+01,1.044871762844536978e+00,3.213325785661376699e+01,1.225435521646169867e-01,3.809103044113983372e-01,4.907271302835106708e-01,5.538780272550663142e+01,0.000000000000000000e+00
7.083333333333333148e-02,-5.079283967940945388e+01,3.349501431811817298e+01,9.878109747209129488e-01,3.140260019178763429e+01,1.452208383777334744e-01,3.762905765703808414e-01,4.532067900895947465e-01,5.989775554237493083e+01,0.000000000000000000e+00
8.249999999999999001e-02,-5.575729723242159963e+01,3.877728503933953164e+01,9.631200364695958749e-01,2.881728674580622851e+01,1.574742581397182983e-01,3.798454181514366867e-01,4.139127604930581961e-01,6.475836967443099468e+01,0.000000000000000000e+00
9.416666666666667629e-02,-7.699472435888992550e+01,4.583260955114269564e+01,1.033862410175362845e+00,2.076404729972853147e+01,1.763120558247520953e-01,5.280308444468375662e-01,4.247362775652264721e-01,6.989652825704658312e+01,0.000000000000000000e+00
3.583333333333332815e-02,-6.382652698565566141e+01,1.392083545384428689e+01,1.356054991165130952e+00,2.230377221858786640e+01,5.191517482139307305e-05,7.186165187073927374e-01,7.520333839931655495e-01,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-4.886824500759467327e+01,1.845708238074535501e+01,1.209668763134583713e+00,2.669108526357787525e+01,5.916731629915697455e-02,4.010943281862739962e-01,5.306036564022030833e-01,4.879395530160756778e+01,0.000000000000000000e+00
5.916666666666666602e-02,-4.753408849375679779e+01,2.376342365559156988e+01,1.107209654300251422e+00,2.856155977245668964e+01,8.959045142486361801e-02,3.524557106960533037e-01,4.678276330553887141e-01,5.245723126062104313e+01,0.000000000000000000e+00
7.083333333333333148e-02,-4.895949026180299057e+01,2.930335451260225099e+01,1.031463961812109087e+00,2.890146826832303617e+01,1.131564046939351892e-01,3.362018285883795476e-01,4.250222503487332548e-01,5.664174092152623530e+01,0.000000000000000000e+00
8.249999999999999001e-02,-5.419864806769466270e+01,3.479910359614241600e+01,1.000018919087625857e+00,2.670313650304447606e+01,1.289310603516165554e-01,3.466202978711058758e-01,3.925383700179981838e-01,6.124073140686957828e+01,0.000000000000000000e+00
9.416666666666667629e-02,-8.276374536972261353e+01,4.300086191590862938e+01,1.091622204393383200e+00,1.745465486549183254e+01,1.576826722022046656e-01,5.821745336899135648e-01,4.421056575704356284e-01,6.616783370650279039e+01,0.000000000000000000e+00
3.583333333333332815e-02,-8.243670254920773743e+01,1.970114290721317474e+01,1.336211200386268061e+00,2.344073767975731926e+01,2.409068160443467166e-02,1.209452461211797170e+00,9.757217616824624962e-01,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-5.670641432608155696e+01,2.392336900291623891e+01,1.171570310754107780e+00,2.887396579095930349e+01,1.032809080427289777e-01,5.532472515028575843e-01,6.251563752550686193e-01,4.879395530160757488e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.206338082521638455e+01,2.859874017317010697e+01,1.068485906030535615e+00,3.078026711523843062e+01,1.288962885013223703e-01,4.356872906878603291e-01,5.229172569374977986e-01,5.245723126062105734e+01,0.000000000000000000e+00
7.083333333333333148e-02,-5.296339845022244930e+01,3.281817379554131975e+01,1.016061587988443371e+00,2.978395928290185424e+01,1.410873560457127085e-01,3.987650455609024203e-01,4.641139727777152113e-01,5.664174092152622819e+01,0.000000000000000000e+00
8.249999999999999001e-02,-7.674877208053048605e+01,3.671532674777682814e+01,1.124591186650918839e+00,1.956567132729334446e+01,1.480739895193942113e-01,6.280596724788272134e-01,5.185122818823451052e-01,6.124073140686956407e+01,0.000000000000000000e+00
9.416666666666667629e-02,-9.842991504185975771e+01,4.530838522073383956e+01,1.139400825400647355e+00,1.471714153082049847e+01,1.708866804544352525e-01,7.772237448707342011e-01,5.020459124263858541e-01,6.616783370650277618e+01,0.000000000000000000e+00
3.583333333333332815e-02,-4.511935388549716208e+01,1.471578026735889111e+01,1.255522580609789829e+00,2.806385504768535100e+01,3.809126385353600597e-02,3.773450296796025394e-01,5.463344747546469149e-01,4.781069463117832896e+01,0.000000000000000000e+00
4.750000000000000056e-02,-4.794795430645191914e+01,1.949140076507664432e+01,1.184689115592263864e+00,2.812231364147714885e+01,6.790349101767512163e-02,3.921935984079338855e-01,5.257348753881564418e-01,5.132104011150659062e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.083623510784309474e+01,2.447478750382873613e+01,1.122103616396852299e+00,2.770819860409363855e+01,9.505552971460619338e-02,3.987369210200597536e-01,4.966841525133696145e-01,5.538780272550666695e+01,0.000000000000000000e+00
7.083333333333333148e-02,-5.480404372619621967e+01,2.930605110350763454e+01,1.079742543996209170e+00,2.613530926829861301e+01,1.148353221162327353e-01,4.048570469090698176e-01,4.629273342311868156e-01,5.989775554237494504e+01,0.000000000000000000e+00
8.249999999999999001e-02,-6.274409571756605430e+01,3.374214046979619042e+01,1.077388146204175889e+00,2.227020632507704079e+01,1.244890885068454661e-01,4.349880929746575697e-01,4.341814195348508987e-01,6.475836967443096626e+01,0.000000000000000000e+00
9.416666666666667629e-02,-9.780680767765656469e+01,4.112840512487351674e+01,1.172737803646617394e+00,1.280707337560697567e+01,2.188245590823761633e-01,8.195369212418767146e-01,5.541384775192627066e-01,6.989652825704655470e+01,0.000000000000000000e+00
3.583333333333332815e-02,-8.085169823822245405e+01,1.024781560423188864e+01,1.444720297537306353e+00,1.722362437422779635e+01,-9.895625325378645809e-02,1.114051377329835502e+00,9.381978063334704965e-01,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-5.579960659397989531e+01,1.355728345498334164e+01,1.332450871128129100e+00,1.965618867582824691e+01,1.159844614152882869e-02,4.897829402521977071e-01,5.832736892852520283e-01,4.879395530160758199e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.356459390004847876e+01,1.810279711295788019e+01,1.244885775863955324e+00,2.067329906712639342e+01,4.569860002119752185e-02,4.091095474056038461e-01,4.977392477549813510e-01,5.245723126062104313e+01,0.000000000000000000e+00
7.083333333333333148e-02,-5.597906375644309662e+01,2.298888590105505259e+01,1.181126203158562094e+00,2.032645348670294538e+01,6.947247658511281065e-02,3.929223578156106345e-01,4.507710260135389113e-01,5.664174092152622819e+01,0.000000000000000000e+00
8.249999999999999001e-02,-6.477851832498703288e+01,2.773524465946961470e+01,1.166256428078934704e+00,1.717842884107440682e+01,8.354378295588497927e-02,4.347030482172462018e-01,4.294569003568555754e-01,6.124073140686956407e+01,0.000000000000000000e+00
9.416666666666667629e-02,-1.124724389699429992e+02,3.691737065334618251e+01,1.253641432260643063e+00,8.171636908729468018e+00,4.164022494574634581e-01,1.393644585212963305e+00,8.594425010801090004e-01,6.616783370650276197e+01,0.000000000000000000e+00
3.583333333333332815e-02,-1.083615167588095574e+02,1.593668879263953642e+01,1.424773485815786112e+00,1.836649250061299199e+01,-1.385578685962448597e-01,2.015261647587124560e+00,1.260858283324882256e+00,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-6.594570658146234621e+01,1.878964401043469934e+01,1.293225645321338657e+00,2.190362856500497912e+01,4.391386405160080386e-02,6.972150106502915667e-01,6.965028895139696585e-01,4.879395530160758199e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.856706704206124670e+01,2.238118144908534646e+01,1.205775271294905471e+00,2.291416591356006904e+01,7.581987912618577685e-02,5.004769735459975166e-01,5.519394999798701296e-01,5.245723126062104313e+01,0.000000000000000000e+00
7.083333333333333148e-02,-6.037757866160558251e+01,2.520904397249865880e+01,1.175275543746660434e+00,2.066167157837341506e+01,8.389734171809995478e-02,4.588326191524427777e-01,4.873693677323489570e-01,5.664174092152623530e+01,0.000000000000000000e+00
8.249999999999999001e-02,-1.003007734593910811e+02,2.749091667197518163e+01,1.303281176033249888e+00,9.327489094448282003e+00,3.489202483140624866e-01,1.488524618525222554e+00,1.027906212415280462e+00,6.124073140686957117e+01,0.000000000000000000e+00
9.416666666666667629e-02,-1.366959533528811335e+02,3.758733711747692041e+01,1.302457661196058103e+00,5.374673018985774320e+00,4.448837953876491058e-01,1.706454484786859238e+00,8.703013446265708275e-01,6.616783370650279039e+01,0.000000000000000000e+00
3.583333333333332815e-02,-4.587182114149858592e+01,1.261591116700527238e+01,1.302406598966615370e+00,2.537759866922537810e+01,2.046457099904561150e-02,3.805777941515087193e-01,5.476760287737505450e-01,4.781069463117832896e+01,0.000000000000000000e+00
4.750000000000000056e-02,-4.962586156557224371e+01,1.667891496876053381e+01,1.246563945964786591e+00,2.457714700304372002e+01,4.452923673596199949e-02,4.047972327688274530e-01,5.317829464186707433e-01,5.132104011150659773e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.346454378092575865e+01,2.101209325828900987e+01,1.196330412705401081e+00,2.345531644883655531e+01,6.761359826584721622e-02,4.195146718930464202e-01,5.057007824280803643e-01,5.538780272550668116e+01,0.000000000000000000e+00
7.083333333333333148e-02,-5.881582825170377760e+01,2.512967654163528053e+01,1.167012627009553327e+00,2.113510183387765551e+01,8.379101888773077267e-02,4.377753796359092897e-01,4.764227632478786334e-01,5.989775554237493793e+01,0.000000000000000000e+00
8.249999999999999001e-02,-6.972953917500070986e+01,2.869809526156501178e+01,1.180361797489858589e+00,1.637025070535553084e+01,8.863215706570957975e-02,4.990603067891623557e-01,4.595507334051543991e-01,6.475836967443099468e+01,0.000000000000000000e+00
9.416666666666667629e-02,-1.186161753872750637e+02,3.640280886844204389e+01,1.273025156754322484e+00,7.061031303997268083e+00,4.018027810415724099e-01,1.418359645922097068e+00,8.311400336484690010e-01,6.989652825704656891e+01,0.000000000000000000e+00
3.583333333333332815e-02,-9.767755149852375496e+01,6.846377116321353817e+00,1.500819159682246884e+00,1.400939633783649185e+01,-2.051891732314837236e-01,1.598871359225466193e+00,1.129492292518397667e+00,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-6.263376775305712840e+01,8.824213110216904354e+00,1.430831646583125227e+00,1.401938545703272609e+01,-3.437428691117033752e-02,5.920622589809255709e-01,6.432401940656878869e-01,4.879395530160756778e+01,0.000000000000000000e+00
5.916666666666666602e-02,-5.956876786884872388e+01,1.248440947364576203e+01,1.364206634242255189e+00,1.383671747417160702e+01,5.190788222993222845e-03,4.735595987131862028e-01,5.340733871259205623e-01,5.245723126062105734e+01,0.000000000000000000e+00
7.083333333333333148e-02,-6.302723928399294095e+01,1.653477651218763000e+01,1.314234562323995270e+00,1.269990628861212656e+01,6.464603108378609575e-02,5.063835011168920097e-01,5.435869252943884566e-01,5.664174092152622819e+01,0.000000000000000000e+00
8.249999999999999001e-02,-7.543190631898448828e+01,2.025780390116259611e+01,1.308429470131139860e+00,9.032513570947074300e+00,1.943000174181989670e-01,8.353431449460156921e-01,7.678871782680982694e-01,6.124073140686957828e+01,0.000000000000000000e+00
9.416666666666667629e-02,-1.422910365982881729e+02,3.002549245745017359e+01,1.362832542845564543e+00,1.915447111867209173e+00,2.338809881650117384e-01,1.213675166412417017e+00,5.946105885860705209e-01,6.616783370650277618e+01,0.000000000000000000e+00
3.583333333333332815e-02,-1.345514838267164066e+02,1.208475717509668890e+01,1.481221553754268783e+00,1.513225644607018694e+01,-3.834268600546974493e-01,3.049097214174457893e+00,1.555169144706124218e+00,4.577721815440840203e+01,0.000000000000000000e+00
4.750000000000000056e-02,-7.536203615735975347e+01,1.354348006100618207e+01,1.392982135158371326e+00,1.618800271830330928e+01,-3.209673852371566771e-02,8.705003779604516545e-01,7.777529748311549085e-01,4.879395530160758199e+01,0.000000000000000000e+00
5.916666666666666602e-02,-6.519484050844300782e+01,1.604883893715347654e+01,1.329428135481921736e+00,1.582937867093967554e+01,1.549632729705641143e-02,5.802684589360267431e-01,5.910546328875790900e-01,5.245723126062104313e+01,0.000000000000000000e+00
7.083333333333333148e-02,-6.788188186959860104e+01,1.749336136544423326e+01,1.318581068798123201e+00,1.245086981201829701e+01,8.439550169941403834e-02,6.057516587140731046e-01,6.065308094179512333e-01,5.664174092152624240e+01,0.000000000000000000e+00
8.249999999999999001e-02,-1.239199392524266727e+02,1.817221685868489089e+01,1.425189335494325249e+00,2.342666069120824091e+00,1.632219391366582506e-01,1.253722367753212552e+00,7.062365565453357918e-01,6.124073140686957828e+01,0.000000000000000000e+00
9.416666666666667629e-02,-1.750129330696445891e+02,2.978513032352417511e+01,1.402223293377283575e+00,-3.414766454529853945e-01,1.484449450800051917e-01,1.084285840599850115e+00,4.311153033826373715e-01,6.616783370650279039e+01,0.000000000000000000e+00
