r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,5.669137275917820462e-01,-2.415212760138132353e+00,-2.305524794346474060e-01,8.320968402788200535e+01,6.137024218546816533e-04,-9.748492890888248901e-06
1.890624999999999944e-02,-2.844918520654979233e+01,-2.276340111207517225e+00,1.490952185428152887e+00,-1.815254040811241509e+01,1.800591634169955955e-03,3.801414664005103167e-02
2.901041666666666352e-02,-4.110378056789494394e+01,-7.329016760890286086e+00,1.394345508942421930e+00,-1.534465829996702269e+01,1.087717582608791270e-02,7.504605875525294234e-02
3.911458333333332760e-02,-4.584272374816626439e+01,-1.727032760642655518e+01,1.210509840211037247e+00,-7.538923084966292265e+00,3.111790436336675167e-02,9.151279273650339552e-02
4.921874999999999167e-02,-4.814486416664486512e+01,-2.727153377622989439e+01,1.055413296196720641e+00,-1.379818423153658102e+00,5.267785514116991169e-02,1.004796307500917252e-01
5.932291666666666269e-02,-4.970885375363236847e+01,-3.674666371908488571e+01,9.342186811761313825e-01,2.836848789966197160e+00,1.456533887020584894e-01,2.032515795921888691e-01
6.942708333333333370e-02,-5.108485855362305017e+01,-4.575300055461166693e+01,8.404022689238600519e-01,5.484860533808038952e+00,2.410375157756931841e-01,2.765032884727671170e-01
7.953124999999999778e-02,-5.254779443606982881e+01,-5.435109020418067871e+01,7.685305903693676610e-01,6.875531654228623779e+00,3.005630137257717105e-01,3.029762242040961451e-01
8.963541666666666186e-02,-5.438857818661143284e+01,-6.252379500065070772e+01,7.159262624184106194e-01,7.162264902667821787e+00,3.408946380772034934e-01,3.101253420660522453e-01
9.973958333333332593e-02,-5.722074886990288434e+01,-7.011819813572518001e+01,6.844579868422607793e-01,6.237991554463079069e+00,3.449495980060178768e-01,2.918245969415738106e-01
1.098437499999999900e-01,-6.320728801746705727e+01,-7.670386637466877744e+01,6.892303761062844591e-01,3.237281064168257672e+00,2.718535322314814540e-01,2.305034377302290771e-01
1.199479166666666541e-01,-9.162818751184433097e+01,-8.314414859931571300e+01,8.339034612632736376e-01,-7.779148851736714221e+00,1.437419638183037585e-01,1.691473879758955967e-01
