r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan
8.802083333333331899e-03,2.639453676203250154e+01,-7.537508763422285263e+00,-1.292629336964274733e+00,1.340622054828468777e+02,7.110363419564055820e-02,-1.323999705514145864e-01
1.890624999999999944e-02,-4.921699990340463238e+00,-1.240839140938543217e+01,3.776089541484755063e-01,3.472823698457970210e+01,2.758471348831415676e-02,1.856065023835186054e-02
2.901041666666666352e-02,-2.283912219078787587e+01,-1.353742477805161748e+01,1.035739826740969205e+00,-6.616248018595932479e+00,2.953745370530004577e-02,5.374262027091159660e-02
3.911458333333332760e-02,-3.563597808013432910e+01,-1.243885372640663967e+01,1.234965192094627406e+00,-2.166738426167603393e+01,3.427823763914474714e-02,1.095237210602906797e-01
4.921874999999999167e-02,-4.391927788692613888e+01,-1.407638228293719607e+01,1.260634653400899419e+00,-2.677449969326343648e+01,4.320745733577239373e-02,1.515997324440467309e-01
5.932291666666666269e-02,-4.883263651176419984e+01,-1.850954894597590439e+01,1.208487978918154626e+00,-2.742307896612324924e+01,5.976357144206669025e-02,1.745961510210747858e-01
6.942708333333333370e-02,-5.206388800894035995e+01,-2.381709906479244765e+01,1.141756756851875387e+00,-2.723602521633880258e+01,7.750562202369087883e-02,1.851080783245215022e-01
7.953124999999999778e-02,-5.473963026964042911e+01,-2.907246243386327222e+01,1.082575878875657649e+00,-2.748157431678644969e+01,9.261185494285531505e-02,1.889599619074391057e-01
8.963541666666666186e-02,-5.770572436867136190e+01,-3.393966794777792018e+01,1.039135035173342381e+00,-2.862896095051995715e+01,1.036918478247222941e-01,1.901915585566450739e-01
9.973958333333332593e-02,-6.226157063904467748e+01,-3.825151987546590249e+01,1.019879014433238584e+00,-3.116203586825926664e+01,1.108281981895849616e-01,1.942838418946285783e-01
1.098437499999999900e-01,-7.255885798833517697e+01,-4.223287062029879735e+01,1.043680056594078476e+00,-3.616209876845195481e+01,1.185875587646212370e-01,2.198853358161290128e-01
1.199479166666666541e-01,-1.223557732607675348e+02,-5.022403540045345949e+01,1.181292174958674890e+00,-4.768305599696171271e+01,1.772810103989727604e-01,4.753206483536175919e-01
