r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
2.928571428571428714e-01,-2.153446204679986042e+00,1.199077424228799238e+01,1.776976399028392939e-01,3.672841870798485786e+00,1.370843362182553316e-01,2.653892028172956385e-02,5.093483463045735959e-01,1.226717131401728800e+01,0.000000000000000000e+00,1.226717131401728800e+01,-2.763970717292953405e-01,5.551366032207329937e-01,-2.153446204679986042e+00,5.700000000000000000e+01
3.112244897959184353e-01,-2.267791259795737702e+00,1.275046397079688099e+01,1.760188514668162285e-01,3.654446029544644148e+00,1.536205890285028131e-01,2.947540701481052641e-02,5.367706939734867566e-01,1.303654094346785186e+01,0.000000000000000000e+00,1.303654094346785186e+01,-2.860769726709713745e-01,5.289102782305883377e-01,-2.267791259795737702e+00,3.000000000000000000e+00
3.295918367346939437e-01,-2.379972926421003443e+00,1.351215601034765434e+01,1.743473968425573173e-01,3.635629991828970731e+00,1.709663383404310399e-01,3.251036325638105573e-02,5.636927442714420033e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,-2.937545625707596586e-01,4.982606012549348762e-01,-2.379972926421003443e+00,3.000000000000000000e+00
3.479591836734694521e-01,-2.489862446786557548e+00,1.427541984458054003e+01,1.726790195540474360e-01,3.616637635762732117e+00,1.890925225406431265e-01,3.563374401352912418e-02,5.901101633735087448e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897603e+01,-2.998603577884352278e-01,4.636532968298741064e-01,-2.489862446786557548e+00,0.000000000000000000e+00
3.663265306122449605e-01,-2.597405918792683899e+00,1.503990260327552875e+01,1.710140943461817553e-01,3.597447490045045271e+00,2.079657926638210919e-01,3.883564402200631593e-02,6.160070393084244866e-01,1.534464983181953635e+01,0.000000000000000000e+00,1.534464983181953635e+01,-3.047472285440084860e-01,4.253276162616882461e-01,-2.597405918792683899e+00,0.000000000000000000e+00
3.846938775510204689e-01,-2.702586676540168931e+00,1.580532631138969002e+01,1.693542779163423051e-01,3.577964632907983500e+00,2.275511507029316094e-01,4.210644915690872625e-02,6.413654539901968432e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,-3.086931498804105223e-01,3.833837422693041619e-01,-2.702586676540168931e+00,0.000000000000000000e+00
4.030612244897959773e-01,-2.805402246581734538e+00,1.657147636937884272e+01,1.677010169367253722e-01,3.558106176140364951e+00,2.478136383106823437e-01,4.543689965372722100e-02,6.661702720609021799e-01,1.688338909072065874e+01,0.000000000000000000e+00,1.688338909072065874e+01,-3.119127213418160238e-01,3.378453787331385239e-01,-2.805402246581734538e+00,0.000000000000000000e+00
4.214285714285714857e-01,-2.905851889903590113e+00,1.733818779496678175e+01,1.660550554691043457e-01,3.537829488142877565e+00,2.687192630662398884e-01,4.881809991445747177e-02,6.904109224535452949e-01,1.765275872017122083e+01,0.000000000000000000e+00,1.765275872017122083e+01,-3.145709252044391890e-01,2.887004446251574818e-01,-2.905851889903590113e+00,0.000000000000000000e+00
4.397959183673469941e-01,-3.003931574942086513e+00,1.810533229008428435e+01,1.644164505298510992e-01,3.517131302118045255e+00,2.902353223108410374e-01,5.224149881150152996e-02,7.140813490171196154e-01,1.842212834962178292e+01,0.000000000000000000e+00,1.842212834962178292e+01,-3.167960595375002297e-01,2.359248565216418569e-01,-3.003931574942086513e+00,0.000000000000000000e+00
4.581632653061225025e-01,-3.099598741359676168e+00,1.887280732689254492e+01,1.627830011146289280e-01,3.496137726325054373e+00,3.123298053000626018e-01,5.569861518417135171e-02,7.371779775317691685e-01,1.919149797907234500e+01,0.000000000000000000e+00,1.919149797907234500e+01,-3.186906521797984171e-01,1.794944098422475709e-01,-3.099598741359676168e+00,0.000000000000000000e+00
4.765306122448980108e-01,-3.192708310668111338e+00,1.964052750842998307e+01,1.611475904083381483e-01,3.475256524232692712e+00,3.349709954622367425e-01,5.918057620923039552e-02,7.596987198935951646e-01,1.996086760852290709e+01,0.000000000000000000e+00,1.996086760852290709e+01,-3.203401000929223530e-01,1.193890942608474837e-01,-3.192708310668111338e+00,0.000000000000000000e+00
4.948979591836735192e-01,-3.283361981327260537e+00,2.040841803082653527e+01,1.595158383769631205e-01,3.454165695509045619e+00,3.581346331107418957e-01,6.268069184626909318e-02,7.816570438916005115e-01,2.073023723797346918e+01,0.000000000000000000e+00,2.073023723797346918e+01,-3.218192071469352378e-01,5.559330109149460825e-02,-3.283361981327260537e+00,0.000000000000000000e+00
5.132653061224490276e-01,-3.371508096185962700e+00,2.117640991753352964e+01,1.578854334031304651e-01,3.432997686073461452e+00,3.817963464341152524e-01,6.619151988305801981e-02,8.030648497068907377e-01,2.149960686742403126e+01,0.000000000000000000e+00,2.149960686742403126e+01,-3.231969498905027383e-01,-1.190545528041138390e-02,-3.371508096185962700e+00,0.000000000000000000e+00
5.316326530612245360e-01,-3.457085549948835990e+00,2.194443669535581165e+01,1.562539265512493669e-01,3.411892809599590848e+00,4.059337241014449593e-01,6.970582198084866732e-02,8.239365341645386032e-01,2.226897649687458980e+01,0.000000000000000000e+00,2.226897649687458980e+01,-3.245398015187771490e-01,-8.311730510378434467e-02,-3.457085549948835990e+00,0.000000000000000000e+00
5.500000000000000444e-01,-3.540018402654152574e+00,2.271243228863747987e+01,1.546185373174810973e-01,3.391010377222311689e+00,4.305270627379937931e-01,7.321655070952091948e-02,8.442900787133238438e-01,2.303834612632515189e+01,0.000000000000000000e+00,2.303834612632515189e+01,-3.259138376876707932e-01,-1.580485829359649652e-01,-3.540018402654152574e+00,0.000000000000000000e+00
5.683673469387755528e-01,-3.620210358451211974e+00,2.348033008743004046e+01,1.529759827162707198e-01,3.370538490158129008e+00,4.555602864285200337e-01,7.671683782566075804e-02,8.641482183862689848e-01,2.380771575577571397e+01,0.000000000000000000e+00,2.380771575577571397e+01,-3.273856683456728978e-01,-2.366964024975273806e-01,-3.620210358451211974e+00,0.000000000000000000e+00
5.867346938775510612e-01,-3.697537978337829934e+00,2.424806337950412782e+01,1.513222782367375785e-01,3.350705444063921234e+00,4.810222099296457277e-01,8.019998550237390778e-02,8.835399740209959329e-01,2.457708538522627606e+01,0.000000000000000000e+00,2.457708538522627606e+01,-3.290220057221490135e-01,-3.190370322224962973e-01,-3.697537978337829934e+00,0.000000000000000000e+00
6.051020408163265696e-01,-3.771842357329788342e+00,2.501556765530236959e+01,1.496525035270656334e-01,3.331793154332471474e+00,5.069082478613924359e-01,8.365946174660715551e-02,9.025026258988186889e-01,2.534645501467683815e+01,0.000000000000000000e+00,2.534645501467683815e+01,-3.308873593744691144e-01,-4.050051153644029789e-01,-3.771842357329788342e+00,0.000000000000000000e+00
6.234693877551020780e-01,-3.842919189626130105e+00,2.578278579248543778e+01,1.479605320660641876e-01,3.314152644771107603e+00,5.332226835168484280e-01,8.708890300378643867e-02,9.210841882808395997e-01,2.611582464412740023e+01,0.000000000000000000e+00,2.611582464412740023e+01,-3.330388516419623968e-01,-4.944597070219013402e-01,-3.842919189626130105e+00,0.000000000000000000e+00
6.418367346938775864e-01,-3.910507168442912018e+00,2.654967796507919786e+01,1.462387210383632175e-01,3.298221816444121046e+00,5.599816664509018604e-01,9.048213085928359656e-02,9.393464893721265030e-01,2.688519427357795877e+01,0.000000000000000000e+00,2.688519427357795877e+01,-3.355163084987610178e-01,-5.871315789821165421e-01,-3.910507168442912018e+00,0.000000000000000000e+00
6.602040816326530948e-01,-3.974274517774509796e+00,2.731623958295843480e+01,1.444775464805419518e-01,3.284546352259765101e+00,5.872172349328025343e-01,9.383319716859586657e-02,9.573690842456561434e-01,2.765456390302852085e+01,0.000000000000000000e+00,2.765456390302852085e+01,-3.383243200700865039e-01,-6.825441456589513844e-01,-3.974274517774509796e+00,0.000000000000000000e+00
