DP, DL, diagonal, taper, sigma, thrust, torque, p_induced, p_profile, p_total, p_ideal, power_loading, figure_of_merit, STALL_HIGH, STALL_LOW, main_RPM, disk_loading
BL, 81.76486086562089,  0, 0, 0, 59.94491265807983, 1.1460937942451026, 339.74257998338913, 130.1026159923014, 469.84519597569033, 346.3001188537642, 0.12758438986185017, 0.7370515263748311, 0, 0, 0, 81.76486086562095
DP0, 81.84, 0.5144000000000001, 0.5599999999999999, 0.06, 59.94491265807987, 1.1460937942451022, 339.74257998338896, 130.10261599230142, 469.8451959756904, 346.3001188537642, 0.12758438986185017, 0.7370515263748311, 0.0, 0.0, 3956.0546875, 81.76486086562095
DP1, 81.84, 0.5144000000000001, 0.5599999999999999, 0.08, 60.05971419966635, 1.237909204065773, 345.18151902105507, 106.85191864552317, 452.03343766657827, 347.29540303829305, 0.13286564487286148, 0.7682958252625098, 0.0, 0.0, 3520.5078125, 81.9214501683449
DP2, 81.84, 0.5144000000000001, 0.5599999999999999, 0.01, 3.5114548023619823, 0.15000929532451238, -42.72361264994092, 63.194219942350024, 20.470607292409106, 4.90969786482578, 0.17153642548084527, 0.23984133908163977, 0.12244897959183673, 0.10204081632653061, 4000, 4.789624350421744
DP3, 81.84, 0.5144000000000001, 0.84, 0.06, 59.98892460784879, 1.1992203783388125, 350.4809340604087, 125.39493901257464, 475.8758730729833, 346.6815725916576, 0.12606002531809068, 0.7285126063503714, 0.0, 0.0, 3834.9609375, 81.82489316510575
DP4, 81.84, 0.5144000000000001, 0.84, 0.08, 59.94691618170648, 1.2893060028651566, 352.4615603349303, 104.19944597535778, 456.6610063102881, 346.31748045051785, 0.13127224648774646, 0.7583688461790955, 0.0, 0.0, 3416.9921875, 81.76759367184764
DP5, 81.84, 0.5144000000000001, 0.84, 0.01, 3.1886438166187485, 0.14991456133754033, -64.03972765067066, 69.88477507215859, 5.8450474214879335, 4.24847588468132, 0.5455291611316024, 0.7268505417189267, 0.10204081632653061, 0.14285714285714285, 4000, 4.349310165867973
DP6, 81.84, 0.643, 0.5599999999999999, 0.06, 59.992912479733775, 1.1491820448200774, 341.22127023016265, 130.3738436665634, 471.59511389672605, 346.71614258974233, 0.12721275244779473, 0.7351987592171475, 0.0, 0.0, 3958.984375, 81.83033262235686
DP7, 81.84, 0.643, 0.5599999999999999, 0.08, 59.95958530331777, 1.238492352260927, 345.4025833270118, 106.84685541753211, 452.2494387445439, 346.4272718383427, 0.13258078433390016, 0.7660092908020709, 0.0, 0.0, 3522.4609375, 81.78487435372544
DP8, 81.84, 0.643, 0.5599999999999999, 0.01, 14.045844861971279, -1.9959327188387381, -2431.749796386373, 177.64045899164387, -2254.109337394729, 39.27769052033007, -0.0062312171947281345, -0.017424926940645534, 0.10204081632653061, 0.0, 5750.0, 19.158532391728823
DP9, 81.84, 0.643, 0.84, 0.06, 60.035108667845606, 1.2024119864351674, 351.9925517142848, 125.67105828002383, 477.6636099943086, 347.0820026021631, 0.12568491174900454, 0.7266243342386886, 0.0, 0.0, 3836.9140625, 81.8878882229414
DP10, 81.84, 0.643, 0.84, 0.08, 59.98514740953475, 1.2927172778923788, 353.9268734341447, 104.47165516118733, 458.398528595332, 346.6488299367358, 0.13085807145443265, 0.7562171523520589, 0.0, 0.0, 3420.8984375, 81.81974106660539
DP11, 81.84, 0.643, 0.84, 0.01, 4.789657043280238, 0.1285077044807957, -79.12596658170033, 69.77890160012211, -9.347064981578214, 7.821332864009522, -0.5124236380853238, -0.8367688551886928, 0.08163265306122448, 0.04081632653061224, 4000, 6.533092207034245
DP12, 81.84, 0.7716, 0.5599999999999999, 0.06, 60.001372665827134, 1.1508674289480982, 342.0282701371485, 130.50880839111514, 472.5370785282637, 346.7894859159017, 0.12697706781593499, 0.7338884114575557, 0.0, 0.0, 3960.9375, 81.84187231618822
DP13, 81.84, 0.7716, 0.5599999999999999, 0.08, 60.032735792251884, 1.2415818726309618, 346.7671842984019, 107.11714515847666, 453.88432945687856, 347.06142528599173, 0.13226439402322507, 0.7646472961542604, 0.0, 0.0, 3524.4140625, 81.88465162063157
DP14, 81.84, 0.7716, 0.5599999999999999, 0.01, 3.7615687945725016, 0.18853408358819812, -23.334103612601318, 63.24161716121076, 39.907513548609444, 5.4434928448971185, 0.09425715761496174, 0.13640270617879158, 0.08163265306122448, 0.04081632653061224, 4000, 5.130779835796892
DP15, 81.84, 0.7716, 0.84, 0.06, 59.97679005021111, 1.2029124171398888, 352.21909808400494, 125.66793886242043, 477.8870369464254, 346.57638780615855, 0.12550411585433932, 0.7252265933403259, 0.0, 0.0, 3838.8671875, 81.80834162848795
DP16, 81.84, 0.7716, 0.84, 0.08, 60.06025920844019, 1.2959460790989519, 355.32986935046165, 104.74655145682172, 460.0764208072834, 347.30013032030797, 0.1305440933118331, 0.754874874289167, 0.0, 0.0, 3422.8515625, 81.92219356031242
DP17, 81.84, 0.7716, 0.84, 0.01, 4.751715178716417, 0.1485461834033184, -70.89869085546779, 69.79795299167294, -1.1007378637948477, 7.728580666716565, -4.3168453952648145, -7.021272658025866, 0.16326530612244897, 0.14285714285714285, 4000, 6.481339503769192
DP18, 102.3, 0.5144000000000001, 0.5599999999999999, 0.06, 59.977295391850404, 1.0282888640936372, 381.75604237825996, 145.7930968830377, 527.5491392612977, 387.48907846744225, 0.11369044308523335, 0.7345080289772153, 0.0, 0.0, 4951.171875, 102.26128864310495
DP19, 102.3, 0.5144000000000001, 0.5599999999999999, 0.08, 59.94210945614795, 1.1081377350610564, 386.39073232694597, 119.48850803906902, 505.879240366015, 387.1481453056422, 0.11849094541372857, 0.7652975540675119, 0.0, 0.0, 4404.296875, 102.20129662273227
DP20, 102.3, 0.5144000000000001, 0.5599999999999999, 0.01, 1.3934351651035524, 0.09733651060457074, -14.431731078174714, 36.87430772169199, 22.442576643517278, 1.3721743567245788, 0.0620889119479094, 0.061141569371489374, 0.14285714285714285, 0.12244897959183673, 4000, 2.375806956501557
