r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.157307621356134658e-01,-1.468357826694193236e+00,5.655189176866512568e+00,2.540381974163219425e-01,4.446834529335390584e-01,1.079919300147832084e-03,2.349310747045224145e-03,7.263855494546326251e-03,5.605174895177029271e+00,0.000000000000000000e+00,5.605174895177029271e+00,5.001428168948363756e-02,5.826182564821413834e-01,-1.468357826694193236e+00,2.486468679388403880e-02,3.044112566291797689e-02,3.954319098551935167e+04,5.198972054695454315e-01,1.000000000000000056e-01,6.001268093665825631e+01
1.469546152836118391e-01,-1.765792414850839265e+00,7.154818290351363963e+00,2.419624329071551616e-01,9.699071270359969077e-01,9.489210109995260822e-03,5.247829910880499361e-03,3.742945764045779028e-02,7.117436238369185375e+00,0.000000000000000000e+00,7.117436238369185375e+00,3.738205198217840752e-02,6.762900730572591890e-01,-1.765792414850839265e+00,1.015794453181375206e-01,2.737122813674738864e-02,4.987641233374836156e+04,3.378993183442218218e+00,1.000000000000000056e-01,6.294289447931672221e+00
1.777003428073752611e-01,-2.071658990631064512e+00,8.632245038000979420e+00,2.355362377463514068e-01,1.171434321410776747e+00,2.265776656862603794e-02,9.084795654581848470e-03,7.280527127732464021e-02,8.606540577353918309e+00,0.000000000000000000e+00,8.606540577353918309e+00,2.570446064706048694e-02,7.480644749533450488e-01,-2.071658990631064512e+00,1.640246993487359251e-01,2.408488722302558338e-02,6.008154382099839131e+04,7.917398104772145118e+00,1.000000000000000056e-01,3.528361957722361808e+01
2.079624211496821362e-01,-2.374502687960001523e+00,1.007883998493907640e+01,2.313737142986785622e-01,1.243262680420009758e+00,3.901906251809660053e-02,1.340983891735594326e-02,1.078172545910870972e-01,1.007222039030989968e+01,0.000000000000000000e+00,1.007222039030989968e+01,6.619594629176078771e-03,7.763573087680334384e-01,-2.374502687960001523e+00,2.082465302281557018e-01,2.082166152325690134e-02,7.008063114961488463e+04,1.367618126326185291e+01,1.000000000000000056e-01,5.654397466085869794e-01
2.377354136422590580e-01,-2.665496320469185498e+00,1.149366461362302694e+01,2.278817131038879951e-01,1.276672944269483523e+00,5.801280290755135571e-02,1.808088829552240845e-02,1.419925519026664640e-01,1.151421236369838219e+01,0.000000000000000000e+00,1.151421236369838219e+01,-2.054775007535519782e-02,7.536098633708092631e-01,-2.665496320469185498e+00,2.406919669979999676e-01,1.790366808257352199e-02,7.985304431521083461e+04,2.052275294624132229e+01,1.000000000000000056e-01,6.608278058780059361e+00
2.670139714824940613e-01,-2.923926827853504662e+00,1.288639363554072226e+01,2.231224556409986681e-01,1.382691643842514750e+00,7.889982073587464839e-02,2.330761840062686024e-02,1.747167642980087254e-01,1.293225743956825191e+01,0.000000000000000000e+00,1.293225743956825191e+01,-4.586380402752976426e-02,6.971748805932183046e-01,-2.923926827853504662e+00,2.644428911585920972e-01,1.697828059813136226e-02,8.943143325142297545e+04,2.828155886585398093e+01,1.000000000000000056e-01,2.503697743713145201e+02
2.957928346943640152e-01,-3.167576232292009575e+00,1.425595882016516569e+01,2.186412306075816714e-01,1.472780258639014406e+00,1.017994174464132290e-01,2.877057320222917852e-02,2.069508880394951011e-01,1.432610086209651001e+01,0.000000000000000000e+00,1.432610086209651001e+01,-7.014204193134468412e-02,6.241683721144046793e-01,-3.167576232292009575e+00,2.834239712905224362e-01,1.611454831343480179e-02,9.883669732488671434e+04,3.702235953097815013e+01,1.000000000000000056e-01,4.599066557065066263e+01
3.240668330734038927e-01,-3.398272860467129952e+00,1.560358569838688148e+01,2.144393938612968176e-01,1.546861103737452225e+00,1.260329785609321795e-01,3.430408036549852102e-02,2.379773080213209990e-01,1.569549222335586514e+01,0.000000000000000000e+00,1.569549222335586514e+01,-9.190652496898432666e-02,5.434670026331679393e-01,-3.398272860467129952e+00,2.980425695267386876e-01,1.530490322018423013e-02,1.080798561714568787e+05,4.655420133414316552e+01,1.000000000000000056e-01,2.963604399419651827e+02
3.518308871155490514e-01,-3.618336811807903342e+00,1.692932819182750492e+01,2.105637349437306516e-01,1.602253335879565199e+00,1.506693121700727889e-01,3.971319308559730782e-02,2.668057234100222885e-01,1.704018550830124212e+01,0.000000000000000000e+00,1.704018550830124212e+01,-1.108573164737383654e-01,4.566823814023791561e-01,-3.618336811807903342e+00,3.082376894474327944e-01,1.454521038150487396e-02,1.171647339293696277e+05,5.658100108653299998e+01,1.000000000000000056e-01,3.048506079583441988e+02
3.790800089296826325e-01,-3.829825406872337190e+00,1.823288454070271314e+01,2.070405025762006301e-01,1.637453014116255545e+00,1.748201965408218150e-01,4.482985687564959576e-02,2.927009862731294043e-01,1.835993913896709984e+01,0.000000000000000000e+00,1.835993913896709984e+01,-1.270545982643869198e-01,3.612666041253969063e-01,-3.829825406872337190e+00,3.142124184631821526e-01,1.382940849882332429e-02,1.260922370782948710e+05,6.680225310092095015e+01,1.000000000000000056e-01,1.470000000000000000e+02
4.058093031337237089e-01,-4.034263682357908110e+00,1.951401497598408952e+01,2.038647153574476845e-01,1.652745551715723238e+00,1.977961827217928070e-01,4.953544006939009092e-02,3.153246064976725771e-01,1.965451601786753955e+01,0.000000000000000000e+00,1.965451601786753955e+01,-1.405010418834494734e-01,2.528924296501833813e-01,-4.034263682357908110e+00,3.164850439276354344e-01,1.314959949044540444e-02,1.348628025744103070e+05,7.697126387940781456e+01,1.000000000000000056e-01,5.700000000000000000e+01
