r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
1.157307621356134658e-01,-1.001177534826774407e+00,4.725989151774679264e+00,2.087586825152094039e-01,3.039008555167008296e+00,9.250856383690433601e-03,3.590547975069171595e-03,5.260541389053020878e-02,4.714406560484031061e+00,0.000000000000000000e+00,4.714406560484031061e+00,1.158259129064792559e-02,1.313793718609110595e-01,-1.001177534826774407e+00,2.177855744057861365e-01,3.547567874381071795e-02,3.269513212654350718e+04,3.113051953414052164e+00,1.000000000000000056e-01,1.500000000000000000e+01,6.068952817648037978e+01
1.469546152836118391e-01,-1.125394925197461093e+00,5.975322448785530760e+00,1.861597336706874162e-01,4.167166278723499317e+00,2.197412135814762191e-02,6.654757210279518484e-03,9.890116266633826314e-02,5.986340965893217181e+00,0.000000000000000000e+00,5.986340965893217181e+00,-1.101851710768667059e-02,1.718511699751682498e-01,-1.125394925197461093e+00,3.253101754310276927e-01,3.523956602030194757e-02,4.115172704341340432e+04,7.366561955540608331e+00,1.000000000000000056e-01,1.483333333333333393e+01,4.990863659518497641e+00
1.777003428073752611e-01,-1.272523826665670210e+00,7.193349967931791156e+00,1.750913366096045198e-01,4.634672049631886281e+00,3.896559203692227802e-02,1.022473837565898713e-02,1.470837199394455508e-01,7.238798453169025926e+00,0.000000000000000000e+00,7.238798453169025926e+00,-4.544848523723507561e-02,1.931376699135952668e-01,-1.272523826665670210e+00,4.026890556648956010e-01,3.290314286841287961e-02,4.944018379148998793e+04,1.316197449612620751e+01,1.000000000000000056e-01,1.466666666666666607e+01,4.339800781114850992e+01
2.079624211496821362e-01,-1.431028594514761387e+00,8.384437070061167674e+00,1.690478392574018829e-01,4.814272274744919144e+00,6.035123752428475652e-02,1.426226409685703300e-02,1.978726695609087094e-01,8.471554014768758023e+00,0.000000000000000000e+00,8.471554014768758023e+00,-8.711694470759112630e-02,1.832318660460480753e-01,-1.431028594514761387e+00,4.652699682228542688e-01,2.935813980003764215e-02,5.756608044495680224e+04,2.061718685147917896e+01,1.000000000000000056e-01,1.450000000000000000e+01,8.805105340156988980e-01
2.377354136422590580e-01,-1.594959586162546072e+00,9.554209838597909510e+00,1.654125542022770456e-01,4.855892099063888523e+00,8.622416282020295419e-02,1.875110113716842858e-02,2.515522951199532509e-01,9.684386182656584907e+00,0.000000000000000000e+00,9.684386182656584907e+00,-1.301763440586762854e-01,1.481939905894898157e-01,-1.594959586162546072e+00,5.193898501921883071e-01,2.532602821606183899e-02,6.555729362990165828e+04,2.984877806272267264e+01,1.000000000000000056e-01,1.433333333333333393e+01,1.170554168363050040e+00
2.670139714824940613e-01,-1.766195269169348769e+00,1.070463594511854666e+01,1.635202836621418576e-01,4.797644548043908941e+00,1.161925432397024754e-01,2.363484527150064296e-02,3.071112618608223266e-01,1.087707706809091768e+01,0.000000000000000000e+00,1.087707706809091768e+01,-1.724411229723709638e-01,9.931445619442241801e-02,-1.766195269169348769e+00,5.661355456973385936e-01,2.104329109909754830e-02,7.342800892370805377e+04,4.081642778612886246e+01,1.000000000000000056e-01,1.416666666666666607e+01,1.622882993573144290e+02
2.957928346943640152e-01,-1.916015306644464511e+00,1.184344964371265618e+01,1.603888689012240021e-01,4.810394731082803688e+00,1.483431076476041388e-01,2.863868014632161424e-02,3.601830910483416748e-01,1.204941240076873932e+01,0.000000000000000000e+00,1.204941240076873932e+01,-2.059627570560828014e-01,4.411240772974471536e-02,-1.916015306644464511e+00,6.004323258787443995e-01,1.821185153770576645e-02,8.119810065079444030e+04,5.293548202312003070e+01,1.000000000000000056e-01,1.400000000000000000e+01,3.125498524411731083e+01
3.240668330734038927e-01,-2.002394475856997147e+00,1.298027385801730560e+01,1.530579022921750298e-01,5.063761510865976589e+00,1.803269732889459798e-01,3.330054617659208849e-02,4.065873963690163073e-01,1.320118156731985160e+01,0.000000000000000000e+00,1.320118156731985160e+01,-2.209077093025455518e-01,-1.443851416560083811e-02,-2.002394475856997147e+00,6.191449245987952210e-01,1.830256403870517828e-02,8.888907854691837565e+04,6.541542855394079936e+01,1.000000000000000056e-01,1.383333333333333393e+01,1.935432846014317363e+02
3.518308871155490514e-01,-2.088945810523085811e+00,1.409809592945832435e+01,1.471018851143276740e-01,5.238349491197380914e+00,2.131319086335394797e-01,3.787825395087018876e-02,4.505603266387141481e-01,1.433217764914418169e+01,0.000000000000000000e+00,1.433217764914418169e+01,-2.340817196858573368e-01,-7.675345355692539395e-02,-2.088945810523085811e+00,6.322750823610036042e-01,1.820429717806995584e-02,9.645702466264797840e+04,7.866197660208011655e+01,1.000000000000000056e-01,1.366666666666666607e+01,2.033077458812901739e+02
3.790800089296826325e-01,-2.171323600775991736e+00,1.519679836049622423e+01,1.419197802573926581e-01,5.368595561827335771e+00,2.466191190159497948e-01,4.235399137544734044e-02,4.928112470746138229e-01,1.544219745958529977e+01,0.000000000000000000e+00,1.544219745958529977e+01,-2.453990990890749790e-01,-1.441883605380586408e-01,-2.171323600775991736e+00,6.420513686228471739e-01,1.808464788913959759e-02,1.038957989445220301e+05,9.267376680071001260e+01,1.000000000000000056e-01,1.350000000000000000e+01,1.470000000000000000e+02
