0.0000e+00,5.0833e-01,0.0000e+00
0.0000e+00,6.2500e-01,0.0000e+00
0.0000e+00,7.4167e-01,0.0000e+00
0.0000e+00,8.5833e-01,0.0000e+00
0.0000e+00,9.7500e-01,0.0000e+00
0.0000e+00,1.0917e+00,0.0000e+00
0.0000e+00,1.2083e+00,0.0000e+00
0.0000e+00,1.3250e+00,0.0000e+00
0.0000e+00,1.4417e+00,0.0000e+00
-4.4023e-01,-2.5417e-01,0.0000e+00
-5.4127e-01,-3.1250e-01,0.0000e+00
-6.4230e-01,-3.7083e-01,0.0000e+00
-7.4334e-01,-4.2917e-01,0.0000e+00
-8.4437e-01,-4.8750e-01,0.0000e+00
-9.4541e-01,-5.4583e-01,0.0000e+00
-1.0464e+00,-6.0417e-01,0.0000e+00
-1.1475e+00,-6.6250e-01,0.0000e+00
-1.2485e+00,-7.2083e-01,0.0000e+00
4.4023e-01,-2.5417e-01,0.0000e+00
5.4127e-01,-3.1250e-01,0.0000e+00
6.4230e-01,-3.7083e-01,0.0000e+00
7.4334e-01,-4.2917e-01,0.0000e+00
8.4437e-01,-4.8750e-01,0.0000e+00
9.4541e-01,-5.4583e-01,0.0000e+00
1.0464e+00,-6.0417e-01,0.0000e+00
1.1475e+00,-6.6250e-01,0.0000e+00
1.2485e+00,-7.2083e-01,0.0000e+00
0.0000e+00,1.5188e+00,0.0000e+00
0.0000e+00,1.5562e+00,0.0000e+00
0.0000e+00,1.5938e+00,0.0000e+00
0.0000e+00,1.6313e+00,0.0000e+00
-1.4063e-02,1.4906e+00,8.1190e-03
-4.2188e-02,1.4719e+00,2.4357e-02
-7.0312e-02,1.4531e+00,4.0595e-02
-9.8437e-02,1.4344e+00,5.6833e-02
1.4062e-02,1.4906e+00,-8.1190e-03
4.2187e-02,1.4719e+00,-2.4357e-02
7.0312e-02,1.4531e+00,-4.0595e-02
9.8437e-02,1.4344e+00,-5.6833e-02
1.2909e+00,-7.5937e-01,-1.4063e-02
1.2747e+00,-7.7812e-01,-4.2188e-02
1.2584e+00,-7.9687e-01,-7.0313e-02
1.2422e+00,-8.1562e-01,-9.8437e-02
1.2890e+00,-7.4531e-01,1.5150e-02
1.2690e+00,-7.3594e-01,4.5451e-02
1.2490e+00,-7.2656e-01,7.5751e-02
1.2290e+00,-7.1719e-01,1.0605e-01
1.3172e+00,-7.4531e-01,-1.0877e-03
1.3534e+00,-7.3594e-01,-3.2632e-03
1.3896e+00,-7.2656e-01,-5.4387e-03
1.4259e+00,-7.1719e-01,-7.6142e-03
-1.2909e+00,-7.5938e-01,1.4062e-02
-1.2747e+00,-7.7813e-01,4.2187e-02
-1.2584e+00,-7.9688e-01,7.0312e-02
-1.2422e+00,-8.1563e-01,9.8437e-02
-1.3172e+00,-7.4531e-01,1.0877e-03
-1.3534e+00,-7.3594e-01,3.2632e-03
-1.3896e+00,-7.2656e-01,5.4387e-03
-1.4259e+00,-7.1719e-01,7.6142e-03
-1.2890e+00,-7.4531e-01,-1.5150e-02
-1.2690e+00,-7.3594e-01,-4.5451e-02
-1.2490e+00,-7.2656e-01,-7.5751e-02
-1.2290e+00,-7.1719e-01,-1.0605e-01
