iter,R,D,thrust,RPM_main,RPM_small,power_req,err
0,1.0,0.15,60.00477668872072,409.53125,13425.427066685883,288.42830087129124,288.42830087129124
1,0.9999999850988388,0.15,60.0047738576976,409.53125,13425.426782908391,288.42827558080586,288.42827558080586
2,1.0,0.1500000149011612,60.004776778794174,409.53125,13425.424355943222,288.4281597353714,288.4281597353714
