0.000000000000000000e+00,1.000000000000000056e-01
1.000000000000000056e-01,1.207944035917896675e-01
1.207944035917896675e-01,1.406601236863471160e-01
1.406601236863471160e-01,1.587290896956081721e-01
1.587290896956081721e-01,1.742126213712603955e-01
1.742126213712603955e-01,1.864358531410745534e-01
1.864358531410745534e-01,1.948671483254246772e-01
1.948671483254246772e-01,1.991412212289501438e-01
1.991412212289501438e-01,1.990749615149853824e-01
1.990749615149853824e-01,1.946752754150098685e-01
1.946752754150098685e-01,1.861386081575504559e-01
1.861386081575504559e-01,1.738421761906480956e-01
1.738421761906480956e-01,1.583273003752520558e-01
1.583273003752520558e-01,1.402755764839270503e-01
1.402755764839270503e-01,1.204789319680824311e-01
1.204789319680824311e-01,9.980488441242274522e-02
9.980488441242274522e-02,7.915852576473378366e-02
7.915852576473378366e-02,5.944289823822607871e-02
5.944289823822607871e-02,4.151949659129081788e-02
4.151949659129081788e-02,2.617062435352486560e-02
2.617062435352486560e-02,1.406524886982725431e-02
1.406524886982725431e-02,5.729845463742291867e-03
5.729845463742291867e-03,1.525501405051296611e-03
1.525501405051296611e-03,1.632275371868732727e-03
1.632275371868732727e-03,6.041489804593111468e-03
6.041489804593111468e-03,1.455628592117094722e-02
1.455628592117094722e-02,2.680040943364078720e-02
2.680040943364078720e-02,4.223483501090052883e-02
4.223483501090052883e-02,6.018149501753433661e-02
6.018149501753433661e-02,7.985306798952948593e-02
7.985306798952948593e-02,1.003875182177485365e-01
1.003875182177485365e-01,1.208858712082005044e-01
1.208858712082005044e-01,1.404515696581401796e-01
1.404515696581401796e-01,1.582296869964436581e-01
1.582296869964436581e-01,1.734442833744743728e-01
1.734442833744743728e-01,1.854322718465062636e-01
1.854322718465062636e-01,1.936723166525055606e-01
1.936723166525055606e-01,1.978075042001565809e-01
1.978075042001565809e-01,1.976608009114143583e-01
1.976608009114143583e-01,1.932426285337870142e-01
1.932426285337870142e-01,1.847502329363161500e-01
1.847502329363161500e-01,1.725588816782941959e-01
1.725588816782941959e-01,1.572052830269969614e-01
1.572052830269969614e-01,1.393639589779264720e-01
1.393639589779264720e-01,1.198176123467091791e-01
1.198176123467091791e-01,9.942278973478572979e-02
9.942278973478572979e-02,7.907234671555714300e-02
7.907234671555714300e-02,5.965636005011004661e-02
5.965636005011004661e-02,4.202319812742946747e-02
