theta2_rad,w4_over_w2,MA,tau4_Nm,Ax,Ay,Bx,By,Cx,Cy,Dx,Dy
1.8570264239448673,0.5231074131639701,1.9116532758570293,-0.19116532758570293,5.597307694322547,0.9074207878030034,5.597307694322549,0.9074207878030033,5.598806699028474,0.9078619625272188,5.598806699028476,0.9078619625272192
1.8414413162555494,0.5248565186910525,1.9052826141778991,-0.19052826141778992,5.5682300421523605,0.8986365170707096,5.5682300421523605,0.8986365170707108,5.569733814189128,0.8990537426109417,5.569733814189131,0.8990537426109416
1.8258562085662333,0.526539079670485,1.8991942642240593,-0.18991942642240595,5.541202766355044,0.8904326028776675,5.5412027663550445,0.8904326028776671,5.542711000296341,0.8908258578702037,5.542711000296335,0.8908258578702029
1.8102711008769157,0.5281546813229454,1.8933847135372452,-0.18933847135372453,5.5162191649377945,0.8827995768563932,5.5162191649377945,0.8827995768563945,5.517731556943169,0.8831688426312995,5.517731556943173,0.8831688426312997
1.7946859931875998,0.5297028919937219,1.887850746361136,-0.1887850746361136,5.493274785926614,0.8757287828701728,5.493274785926612,0.8757287828701741,5.494791033744072,0.8760740433687204,5.494791033744072,0.8760740433687206
1.779100885498282,0.5311832502741254,1.882589482036443,-0.1882589482036443,5.47236762836211,0.8692124002683563,5.472367628362109,0.869212400268358,5.473887431346833,0.8695336419649043,5.473887431346834,0.8695336419649049
1.7635157778089658,0.532595274993497,1.8775983320772232,-0.18775983320772233,5.453498017135336,0.8632434069410442,5.4534980171353356,0.8632434069410433,5.455021076251773,0.8635406187612402,5.455021076251777,0.8635406187612409
1.7479306701196478,0.5339384594460483,1.8728750145428412,-0.18728750145428413,5.436668712742844,0.8578155872351703,5.436668712742844,0.8578155872351716,5.438194730572782,0.8580887604759334,5.438194730572782,0.8580887604759329
1.732345562430332,0.5352122698365491,1.8684175538527816,-0.18684175538527817,5.4218849656115005,0.8529235302318927,5.421884965611498,0.8529235302318936,5.4234136463619285,0.8531726584814242,5.423413646361926,0.8531726584814248
1.7167604547410142,0.5364161417276136,1.8642242882164968,-0.1864224288216497,5.409154605188326,0.8485626351626667,5.4091546051883235,0.8485626351626665,5.4106856547020605,0.8487877142207814,5.410685654702061,0.8487877142207808
1.7011753470516975,0.5375494858128604,1.8602938452965696,-0.18602938452965698,5.398488003245919,0.8447290947426325,5.398488003245919,0.8447290947426308,5.400021129001477,0.8449301225391704,5.400021129001479,0.8449301225391703
1.6855902393623805,0.5386116777028604,1.8566251743091184,-0.18566251743091186,5.38989827167744,0.8414199220719745,5.389898271677439,0.8414199220719758,5.3914331828010305,0.8415968985868263,5.391433182801033,0.8415968985868258
1.6700051316730637,0.5396020597014939,1.8532175369256314,-0.18532175369256315,5.3834012969699945,0.8386329484679447,5.383401296969997,0.8386329484679437,5.384937704242364,0.8387858756495936,5.384937704242367,0.8387858756495948
1.654420023983747,0.5405199461350207,1.8500704870384228,-0.1850070487038423,5.379015733042203,0.8363668149202574,5.379015733042204,0.8363668149202572,5.380553348895256,0.8364956966027765,5.380553348895255,0.8364956966027758
