3.0000e-01,4.5000e-01,0.0000e+00,0.0000e+00,4.5000e-01,0.0000e+00,0
0.0000e+00,5.6667e-01,0.0000e+00,3.0000e-01,5.6667e-01,0.0000e+00,1
3.9506e-01,4.3985e-01,-3.1579e-02,3.0000e-01,4.5000e-01,-0.0000e+00,0
3.0000e-01,5.6667e-01,-0.0000e+00,4.1970e-01,5.5388e-01,-3.1579e-02,0
4.8583e-01,4.0984e-01,-6.3158e-02,3.9506e-01,4.3985e-01,-3.1579e-02,0
4.1970e-01,5.5388e-01,-3.1579e-02,5.3401e-01,5.1609e-01,-6.3158e-02,0
5.6821e-01,3.6134e-01,-9.4737e-02,4.8583e-01,4.0984e-01,-6.3158e-02,0
5.3401e-01,5.1609e-01,-6.3158e-02,6.3775e-01,4.5502e-01,-9.4737e-02,0
6.3849e-01,2.9652e-01,-1.2632e-01,5.6821e-01,3.6134e-01,-9.4737e-02,0
6.3775e-01,4.5502e-01,-9.4737e-02,7.2624e-01,3.7340e-01,-1.2632e-01,0
6.9349e-01,2.1833e-01,-1.5789e-01,6.3849e-01,2.9652e-01,-1.2632e-01,0
7.2624e-01,3.7340e-01,-1.2632e-01,7.9550e-01,2.7493e-01,-1.5789e-01,0
7.3073e-01,1.3028e-01,-1.8947e-01,6.9349e-01,2.1833e-01,-1.5789e-01,0
7.9550e-01,2.7493e-01,-1.5789e-01,8.4240e-01,1.6406e-01,-1.8947e-01,0
7.4853e-01,3.6354e-02,-2.2105e-01,7.3073e-01,1.3028e-01,-1.8947e-01,0
8.4240e-01,1.6406e-01,-1.8947e-01,8.6481e-01,4.5780e-02,-2.2105e-01,0
7.4609e-01,-5.9214e-02,-2.5263e-01,7.4853e-01,3.6354e-02,-2.2105e-01,0
8.6481e-01,4.5780e-02,-2.2105e-01,8.6174e-01,-7.4566e-02,-2.5263e-01,0
7.2351e-01,-1.5211e-01,-2.8421e-01,7.4609e-01,-5.9214e-02,-2.5263e-01,0
8.6174e-01,-7.4566e-02,-2.5263e-01,8.3331e-01,-1.9155e-01,-2.8421e-01,0
6.8182e-01,-2.3814e-01,-3.1579e-01,7.2351e-01,-1.5211e-01,-2.8421e-01,0
8.3331e-01,-1.9155e-01,-2.8421e-01,7.8081e-01,-2.9988e-01,-3.1579e-01,0
6.2290e-01,-3.1342e-01,-3.4737e-01,6.8182e-01,-2.3814e-01,-3.1579e-01,0
